glucose,glucoseShortDelta,glucoseLongDelta,iob,iobActivity,insulinReq,basal,tick,eventualBG
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0,0,3.51,0.06,0,0.45,0,151
150.69,0.01,0,3.51,0.06,0,0.45,0,151
150.77,0.06,0.01,3.51,0.06,0,0.45,0,151
151.07,0.27,0.07,3.51,0.06,0,0.45,0,151
151.87,0.75,0.21,3.51,0.06,0,0.45,1,152
153.42,1.62,0.49,3.51,0.06,0,0.45,2,153
155.95,2.85,0.94,3.51,0.06,0,0.45,4,156
159.54,4.36,1.59,3.51,0.06,0,0.45,6,160
164.19,6.02,2.42,3.51,0.06,0,0.45,7,164
169.8,7.68,3.41,3.51,0.06,0,0.45,9,170
176.23,9.21,4.53,3.51,0.06,0,0.45,10,176
183.29,10.53,5.72,3.51,0.06,0,0.45,12,183
190.8,11.57,6.92,3.51,0.06,0,0.45,12,191
198.57,12.31,8.08,3.51,0.06,0,0.45,13,199
206.41,12.74,9.13,3.51,0.06,0,0.45,13,206
214.18,12.89,10.05,3.51,0.06,0,0.45,13,214
221.72,12.77,10.78,3.51,0.06,0,0.45,13,222
228.92,12.43,11.31,3.51,0.06,0,0.45,12,229
235.7,11.9,11.62,3.51,0.06,0,0.45,11,236
241.98,11.21,11.72,3.51,0.06,0,0.45,11,242
247.72,10.41,11.61,3.51,0.06,0,0.45,10,248
252.89,9.53,11.32,3.51,0.06,0,0.45,9,253
257.47,8.59,10.86,3.51,0.06,0,0.45,8,257
261.45,7.62,10.27,3.51,0.06,0,0.45,7,261
264.86,6.65,9.57,3.51,0.06,0,0.45,6,265
267.7,5.69,8.79,3.51,0.06,0,0.45,5,268
270,4.76,7.95,3.51,0.06,0,0.45,4,270
271.78,3.86,7.08,3.51,0.06,0,0.45,3,272
273.09,3.01,6.19,3.51,0.06,0,0.45,2,273
273.96,2.22,5.32,3.51,0.06,0,0.45,2,274
274.41,1.48,4.46,3.51,0.06,0,0.45,1,274
274.49,0.8,3.62,3.51,0.06,0,0.45,0,274
274.24,0.18,2.83,3.51,0.06,0,0.45,0,274
273.68,-0.39,2.08,3.51,0.06,0,0.45,-1,274
272.85,-0.89,1.39,3.51,0.06,0,0.45,-1,273
271.78,-1.35,0.74,3.51,0.06,0,0.45,-2,272
270.5,-1.75,0.15,3.51,0.06,0,0.45,-2,271
269.04,-2.1,-0.39,3.51,0.06,0,0.45,-2,269
267.43,-2.4,-0.88,3.51,0.06,0,0.45,-3,267
265.68,-2.67,-1.32,3.51,0.06,0,0.45,-3,266
263.82,-2.89,-1.71,3.51,0.06,0,0.45,-3,264
261.87,-3.08,-2.05,3.51,0.06,0,0.45,-3,262
259.84,-3.23,-2.35,3.51,0.06,0,0.45,-3,260
257.76,-3.36,-2.6,3.51,0.06,0,0.45,-3,258
255.63,-3.46,-2.82,3.51,0.06,0,0.45,-4,256
253.47,-3.53,-3.01,3.51,0.06,0,0.45,-4,253
251.29,-3.59,-3.16,3.51,0.06,0,0.45,-4,251
249.1,-3.62,-3.29,3.51,0.06,0,0.45,-4,249
246.91,-3.64,-3.39,3.51,0.06,0,0.45,-4,247
244.73,-3.64,-3.46,3.51,0.06,0,0.45,-4,245
242.56,-3.63,-3.52,3.51,0.06,0,0.45,-4,243
240.41,-3.61,-3.55,3.51,0.06,0,0.45,-4,240
238.28,-3.58,-3.57,3.51,0.06,0,0.45,-4,238
236.18,-3.54,-3.58,3.51,0.06,0,0.45,-4,236
234.11,-3.5,-3.57,3.51,0.06,0,0.45,-3,234
232.07,-3.45,-3.55,3.51,0.06,0,0.45,-3,232
230.07,-3.39,-3.52,3.51,0.06,0,0.45,-3,230
228.11,-3.33,-3.49,3.51,0.06,0,0.45,-3,228
226.19,-3.27,-3.44,3.51,0.06,0,0.45,-3,226
224.31,-3.2,-3.4,3.51,0.06,0,0.45,-3,224
222.46,-3.14,-3.34,3.51,0.06,0,0.45,-3,222
220.67,-3.07,-3.28,3.51,0.06,0,0.45,-3,221
218.91,-3,-3.22,3.51,0.06,0,0.45,-3,219
217.19,-2.93,-3.16,3.51,0.06,0,0.45,-3,217
215.52,-2.86,-3.09,3.51,0.06,0,0.45,-3,216
213.89,-2.79,-3.03,3.51,0.06,0,0.45,-3,214
212.3,-2.72,-2.96,3.51,0.06,0,0.45,-3,212
210.75,-2.65,-2.89,3.51,0.06,0,0.45,-3,211
209.25,-2.58,-2.82,3.51,0.06,0,0.45,-3,209
207.79,-2.51,-2.75,3.51,0.06,0,0.45,-2,208
206.4,-2.41,-2.68,3.51,0.06,0,0.45,-2,206
205.21,-2.21,-2.57,3.51,0.06,0,0.45,-2,205
204.44,-1.78,-2.4,3.51,0.06,0,0.45,-1,204
204.34,-1.02,-2.12,3.51,0.06,0,0.45,0,204
205.17,0.12,-1.67,3.51,0.06,0,0.45,1,205
207.07,1.58,-1.05,3.51,0.06,0,0.45,3,207
210.05,3.23,-0.23,3.51,0.06,0,0.45,5,210
214.04,4.92,0.75,3.51,0.06,0,0.45,6,214
218.89,6.52,1.86,3.51,0.06,0,0.45,8,219
224.41,7.89,3.05,3.51,0.06,0,0.45,9,224
230.38,8.97,4.25,3.51,0.06,0,0.45,10,230
236.6,9.72,5.42,3.51,0.06,0,0.45,10,237
242.85,10.13,6.47,3.51,0.06,0,0.45,10,243
248.95,10.2,7.38,3.51,0.06,0,0.45,10,249
254.73,9.98,8.09,3.51,0.06,0,0.45,10,255
260.07,9.48,8.57,3.51,0.06,0,0.45,9,260
264.86,8.77,8.82,3.51,0.06,0,0.45,8,265
269.03,7.89,8.82,3.51,0.06,0,0.45,7,269
272.51,6.87,8.59,3.51,0.06,0,0.45,6,273
275.28,5.76,8.16,3.51,0.06,0,0.45,5,275
277.32,4.59,7.54,3.51,0.06,0,0.45,4,277
278.65,3.41,6.76,3.51,0.06,0,0.45,3,279
279.27,2.23,5.87,3.51,0.06,0,0.45,1,279
279.23,1.07,4.89,3.51,0.06,0,0.45,0,279
278.55,-0.04,3.86,3.51,0.06,0,0.45,-1,279
277.28,-1.08,2.8,3.51,0.06,0,0.45,-2,277
275.47,-2.06,1.73,3.51,0.06,0,0.45,-3,275
273.17,-2.96,0.69,3.51,0.06,0,0.45,-4,273
270.43,-3.78,-0.32,3.51,0.06,0,0.45,-4,270
267.3,-4.51,-1.29,3.51,0.06,0,0.45,-5,267
263.83,-5.16,-2.19,3.51,0.06,0,0.45,-6,264
260.06,-5.73,-3.02,3.51,0.06,0,0.45,-6,260
256.06,-6.22,-3.79,3.51,0.06,0,0.45,-7,256
251.85,-6.63,-4.48,3.51,0.06,0,0.45,-7,252
