glucose,glucoseShortDelta,glucoseLongDelta,iob,iobActivity,insulinReq,basal,tick,eventualBG
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.7,0,0,3.51,0.06,0,0.45,0,145
144.71,0,0,3.51,0.06,0,0.45,0,145
144.76,0.04,0.01,3.51,0.06,0,0.45,0,145
144.97,0.18,0.05,3.51,0.06,0,0.45,0,145
145.53,0.53,0.15,3.51,0.06,0,0.45,1,146
146.63,1.14,0.35,3.51,0.06,0,0.45,2,147
148.43,2.02,0.67,3.51,0.06,0,0.45,3,148
151.02,3.13,1.13,3.51,0.06,0,0.45,4,151
154.41,4.36,1.74,3.51,0.06,0,0.45,5,154
158.57,5.64,2.48,3.51,0.06,0,0.45,7,159
163.42,6.87,3.32,3.51,0.06,0,0.45,8,163
168.87,7.99,4.24,3.51,0.06,0,0.45,9,169
174.79,8.95,5.2,3.51,0.06,0,0.45,10,175
181.07,9.74,6.16,3.51,0.06,0,0.45,10,181
187.6,10.34,7.08,3.51,0.06,0,0.45,11,188
194.27,10.76,7.93,3.51,0.06,0,0.45,11,194
200.99,11.01,8.68,3.51,0.06,0,0.45,11,201
207.68,11.1,9.31,3.51,0.06,0,0.45,11,208
214.26,11.06,9.8,3.51,0.06,0,0.45,11,214
220.66,10.89,10.16,3.51,0.06,0,0.45,11,221
226.85,10.62,10.38,3.51,0.06,0,0.45,10,227
232.78,10.26,10.47,3.51,0.06,0,0.45,10,233
238.41,9.84,10.43,3.51,0.06,0,0.45,10,238
243.73,9.36,10.29,3.51,0.06,0,0.45,9,244
248.71,8.84,10.05,3.51,0.06,0,0.45,8,249
253.34,8.29,9.73,3.51,0.06,0,0.45,8,253
257.62,7.72,9.34,3.51,0.06,0,0.45,7,258
261.55,7.13,8.9,3.51,0.06,0,0.45,7,262
265.13,6.55,8.41,3.51,0.06,0,0.45,6,265
268.35,5.96,7.9,3.51,0.06,0,0.45,6,268
271.24,5.38,7.36,3.51,0.06,0,0.45,5,271
273.79,4.82,6.81,3.51,0.06,0,0.45,4,274
276.03,4.27,6.25,3.51,0.06,0,0.45,4,276
277.95,3.73,5.7,3.51,0.06,0,0.45,3,278
279.58,3.22,5.15,3.51,0.06,0,0.45,3,280
280.92,2.73,4.6,3.51,0.06,0,0.45,2,281
282,2.26,4.07,3.51,0.06,0,0.45,2,282
282.83,1.81,3.56,3.51,0.06,0,0.45,1,283
283.41,1.39,3.07,3.51,0.06,0,0.45,1,283
283.77,0.99,2.59,3.51,0.06,0,0.45,1,284
283.92,0.62,2.14,3.51,0.06,0,0.45,0,284
283.87,0.26,1.7,3.51,0.06,0,0.45,0,284
283.64,-0.07,1.29,3.51,0.06,0,0.45,0,284
283.24,-0.37,0.91,3.51,0.06,0,0.45,-1,283
282.67,-0.66,0.54,3.51,0.06,0,0.45,-1,283
281.97,-0.92,0.2,3.51,0.06,0,0.45,-1,282
281.13,-1.17,-0.12,3.51,0.06,0,0.45,-1,281
280.16,-1.39,-0.42,3.51,0.06,0,0.45,-2,280
279.09,-1.6,-0.7,3.51,0.06,0,0.45,-2,279
277.91,-1.78,-0.95,3.51,0.06,0,0.45,-2,278
276.63,-1.95,-1.19,3.51,0.06,0,0.45,-2,277
275.28,-2.11,-1.41,3.51,0.06,0,0.45,-2,275
273.85,-2.25,-1.61,3.51,0.06,0,0.45,-2,274
272.35,-2.38,-1.79,3.51,0.06,0,0.45,-2,272
270.79,-2.49,-1.96,3.51,0.06,0,0.45,-3,271
269.18,-2.59,-2.11,3.51,0.06,0,0.45,-3,269
267.53,-2.68,-2.25,3.51,0.06,0,0.45,-3,268
265.83,-2.75,-2.37,3.51,0.06,0,0.45,-3,266
264.1,-2.82,-2.48,3.51,0.06,0,0.45,-3,264
262.34,-2.88,-2.58,3.51,0.06,0,0.45,-3,262
260.56,-2.93,-2.67,3.51,0.06,0,0.45,-3,261
258.75,-2.97,-2.74,3.51,0.06,0,0.45,-3,259
256.94,-3,-2.81,3.51,0.06,0,0.45,-3,257
255.11,-3.02,-2.86,3.51,0.06,0,0.45,-3,255
253.27,-3.04,-2.91,3.51,0.06,0,0.45,-3,253
251.43,-3.06,-2.95,3.51,0.06,0,0.45,-3,251
249.59,-3.06,-2.98,3.51,0.06,0,0.45,-3,250
247.75,-3.06,-3,3.51,0.06,0,0.45,-3,248
245.92,-3.06,-3.02,3.51,0.06,0,0.45,-3,246
244.09,-3.05,-3.03,3.51,0.06,0,0.45,-3,244
242.3,-3.02,-3.04,3.51,0.06,0,0.45,-3,242
