glucose,glucoseShortDelta,glucoseLongDelta,iob,iobActivity,insulinReq,basal,tick,eventualBG
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.56,0,0,3.51,0.06,0,0.45,0,139
138.6,0.03,0.01,3.51,0.06,0,0.45,0,139
138.73,0.12,0.03,3.51,0.06,0,0.45,0,139
139.1,0.35,0.1,3.51,0.06,0,0.45,1,139
139.84,0.76,0.23,3.51,0.06,0,0.45,1,140
141.06,1.37,0.45,3.51,0.06,0,0.45,2,141
142.85,2.14,0.77,3.51,0.06,0,0.45,3,143
145.21,3.02,1.19,3.51,0.06,0,0.45,4,145
148.13,3.93,1.71,3.51,0.06,0,0.45,5,148
151.56,4.83,2.31,3.51,0.06,0,0.45,6,152
155.42,5.64,2.96,3.51,0.06,0,0.45,6,155
159.62,6.34,3.65,3.51,0.06,0,0.45,7,160
164.08,6.9,4.33,3.51,0.06,0,0.45,7,164
168.69,7.32,4.99,3.51,0.06,0,0.45,8,169
173.38,7.59,5.58,3.51,0.06,0,0.45,8,173
178.06,7.72,6.11,3.51,0.06,0,0.45,8,178
182.66,7.72,6.53,3.51,0.06,0,0.45,8,183
187.14,7.61,6.86,3.51,0.06,0,0.45,8,187
191.43,7.4,7.07,3.51,0.06,0,0.45,7,191
195.51,7.11,7.17,3.51,0.06,0,0.45,7,196
199.34,6.76,7.17,3.51,0.06,0,0.45,6,199
202.89,6.35,7.07,3.51,0.06,0,0.45,6,203
206.17,5.91,6.89,3.51,0.06,0,0.45,6,206
209.15,5.45,6.64,3.51,0.06,0,0.45,5,209
211.84,4.97,6.32,3.51,0.06,0,0.45,5,212
214.24,4.49,5.96,3.51,0.06,0,0.45,4,214
