glucose,glucoseShortDelta,glucoseLongDelta,iob,iobActivity,insulinReq,basal,tick,eventualBG
141.2,0,0,3.51,0.06,0,0.45,0,141
141.2,0,0,3.51,0.06,0,0.45,0,141
141.2,0,0,3.51,0.06,0,0.45,0,141
141.2,0,0,3.51,0.06,0,0.45,0,141
141.2,0,0,3.51,0.06,0,0.45,0,141
141.2,0,0,3.51,0.06,0,0.45,0,141
141.2,0,0,3.51,0.06,0,0.45,0,141
141.2,0,0,3.51,0.06,0,0.45,0,141
141.2,0,0,3.51,0.06,0,0.45,0,141
141.2,0,0,3.51,0.06,0,0.45,0,141
141.2,0,0,3.51,0.06,0,0.45,0,141
141.2,0,0,3.51,0.06,0,0.45,0,141
141.2,0,0,3.51,0.06,0,0.45,0,141
141.2,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.21,0,0,3.51,0.06,0,0.45,0,141
141.24,0.02,0.01,3.51,0.06,0,0.45,0,141
141.49,0.2,0.05,3.51,0.06,0,0.45,0,141
142.49,0.87,0.23,3.51,0.06,0,0.45,1,142
145.02,2.43,0.68,3.51,0.06,0,0.45,4,145
149.89,5.09,1.56,3.51,0.06,0,0.45,7,150
157.58,8.76,2.93,3.51,0.06,0,0.45,12,158
168.19,13.08,4.84,3.51,0.06,0,0.45,16,168
181.5,17.58,7.21,3.51,0.06,0,0.45,21,182
197.06,21.79,9.97,3.51,0.06,0,0.45,25,197
214.29,25.35,12.95,3.51,0.06,0,0.45,28,229
232.58,28.06,15.98,3.51,0.06,0,0.45,30,264
251.31,29.8,18.89,3.51,0.06,0,0.45,31,294
269.94,30.59,21.51,3.51,0.06,0,0.45,31,317
288,30.5,23.71,3.51,0.06,0,0.45,30,333
305.1,29.64,25.39,3.51,0.06,0,0.45,29,341
320.95,28.13,26.48,3.51,0.06,0,0.45,27,346
335.32,26.13,26.95,3.51,0.06,0,0.45,25,346
348.08,23.76,26.81,3.51,0.06,0,0.45,22,348
359.15,21.15,26.09,3.51,0.06,0,0.45,19,359
368.5,18.39,24.87,3.51,0.06,0,0.45,16,369
376.15,15.59,23.22,3.51,0.06,0,0.45,13,376
382.17,12.8,21.24,3.51,0.06,0,0.45,11,382
386.62,10.1,19.01,3.51,0.06,0,0.45,8,387
389.6,7.52,16.63,3.51,0.06,0,0.45,6,390
391.22,5.09,14.17,3.51,0.06,0,0.45,3,391
391.61,2.83,11.69,3.51,0.06,0,0.45,1,392
390.86,0.77,9.25,3.51,0.06,0,0.45,-1,391
389.12,-1.1,6.9,3.51,0.06,0,0.45,-2,389
386.48,-2.78,4.67,3.51,0.06,0,0.45,-4,386
383.07,-4.27,2.58,3.51,0.06,0,0.45,-5,383
378.98,-5.57,0.65,3.51,0.06,0,0.45,-7,379
374.32,-6.7,-1.11,3.51,0.06,0,0.45,-8,374
369.17,-7.67,-2.7,3.51,0.06,0,0.45,-8,369
363.63,-8.48,-4.12,3.51,0.06,0,0.45,-9,364
357.76,-9.15,-5.37,3.51,0.06,0,0.45,-10,358
351.64,-9.7,-6.46,3.51,0.06,0,0.45,-10,352
345.32,-10.13,-7.4,3.51,0.06,0,0.45,-10,345
338.87,-10.46,-8.19,3.51,0.06,0,0.45,-11,339
332.34,-10.69,-8.86,3.51,0.06,0,0.45,-11,332
325.75,-10.85,-9.4,3.51,0.06,0,0.45,-11,326
319.16,-10.93,-9.83,3.51,0.06,0,0.45,-11,319
312.6,-10.94,-10.16,3.51,0.06,0,0.45,-11,313
306.09,-10.91,-10.4,3.51,0.06,0,0.45,-11,306
299.66,-10.82,-10.56,3.51,0.06,0,0.45,-11,300
293.32,-10.7,-10.65,3.51,0.06,0,0.45,-11,293
287.1,-10.54,-10.67,3.51,0.06,0,0.45,-10,287
281.02,-10.35,-10.65,3.51,0.06,0,0.45,-10,281
275.07,-10.13,-10.57,3.51,0.06,0,0.45,-10,275
269.27,-9.9,-10.46,3.51,0.06,0,0.45,-10,269
263.62,-9.66,-10.31,3.51,0.06,0,0.45,-9,264
258.13,-9.4,-10.13,3.51,0.06,0,0.45,-9,258
252.81,-9.14,-9.93,3.51,0.06,0,0.45,-9,253
247.65,-8.87,-9.71,3.51,0.06,0,0.45,-9,248
242.66,-8.6,-9.48,3.51,0.06,0,0.45,-8,243
237.84,-8.32,-9.23,3.51,0.06,0,0.45,-8,238
233.18,-8.04,-8.97,3.51,0.06,0,0.45,-8,233
228.69,-7.76,-8.71,3.51,0.06,0,0.45,-8,229
224.37,-7.48,-8.44,3.51,0.06,0,0.45,-7,224
220.21,-7.21,-8.17,3.51,0.06,0,0.45,-7,220
216.21,-6.94,-7.9,3.51,0.06,0,0.45,-7,216
212.36,-6.67,-7.63,3.51,0.06,0,0.45,-6,212
208.67,-6.41,-7.36,3.51,0.06,0,0.45,-6,209
205.12,-6.16,-7.09,3.51,0.06,0,0.45,-6,205
201.72,-5.91,-6.83,3.51,0.06,0,0.45,-6,202
198.46,-5.67,-6.57,3.51,0.06,0,0.45,-5,198
195.33,-5.44,-6.31,3.51,0.06,0,0.45,-5,195
