glucose,glucoseShortDelta,glucoseLongDelta,iob,iobActivity,insulinReq,basal,tick,eventualBG
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.64,0,0,3.51,0.06,0,0.45,0,136
135.65,0.01,0,3.51,0.06,0,0.45,0,136
135.71,0.05,0.01,3.51,0.06,0,0.45,0,136
135.93,0.2,0.05,3.51,0.06,0,0.45,0,136
136.46,0.52,0.15,3.51,0.06,0,0.45,1,136
137.42,1.02,0.32,3.51,0.06,0,0.45,1,137
138.86,1.69,0.58,3.51,0.06,0,0.45,2,139
140.81,2.44,0.93,3.51,0.06,0,0.45,3,141
143.22,3.22,1.36,3.51,0.06,0,0.45,4,143
146.05,3.97,1.86,3.51,0.06,0,0.45,5,146
149.24,4.66,2.4,3.51,0.06,0,0.45,5,149
152.73,5.25,2.98,3.51,0.06,0,0.45,6,153
156.46,5.75,3.56,3.51,0.06,0,0.45,6,156
160.36,6.14,4.12,3.51,0.06,0,0.45,6,160
164.38,6.44,4.65,3.51,0.06,0,0.45,7,164
168.48,6.65,5.13,3.51,0.06,0,0.45,7,168
172.6,6.77,5.54,3.51,0.06,0,0.45,7,173
176.71,6.82,5.89,3.51,0.06,0,0.45,7,177
180.76,6.8,6.15,3.51,0.06,0,0.45,7,181
184.74,6.73,6.35,3.51,0.06,0,0.45,7,185
188.62,6.6,6.46,3.51,0.06,0,0.45,7,189
192.37,6.44,6.52,3.51,0.06,0,0.45,6,192
195.98,6.23,6.5,3.51,0.06,0,0.45,6,196
199.44,6,6.44,3.51,0.06,0,0.45,6,199
202.73,5.75,6.33,3.51,0.06,0,0.45,6,203
205.85,5.48,6.17,3.51,0.06,0,0.45,5,206
208.79,5.19,5.98,3.51,0.06,0,0.45,5,209
211.54,4.89,5.77,3.51,0.06,0,0.45,5,212
214.12,4.59,5.53,3.51,0.06,0,0.45,4,214
216.51,4.29,5.27,3.51,0.06,0,0.45,4,217
218.72,3.99,5,3.51,0.06,0,0.45,4,219
220.75,3.69,4.71,3.51,0.06,0,0.45,3,221
222.61,3.39,4.43,3.51,0.06,0,0.45,3,223
224.3,3.1,4.14,3.51,0.06,0,0.45,3,224
225.82,2.81,3.84,3.51,0.06,0,0.45,3,226
227.18,2.54,3.55,3.51,0.06,0,0.45,2,227
228.38,2.27,3.27,3.51,0.06,0,0.45,2,228
229.44,2.02,2.99,3.51,0.06,0,0.45,2,229
230.36,1.77,2.71,3.51,0.06,0,0.45,2,230
231.14,1.53,2.45,3.51,0.06,0,0.45,1,231
231.79,1.31,2.19,3.51,0.06,0,0.45,1,232
232.32,1.1,1.94,3.51,0.06,0,0.45,1,232
232.74,0.89,1.7,3.51,0.06,0,0.45,1,233
233.05,0.7,1.47,3.51,0.06,0,0.45,1,233
233.25,0.52,1.25,3.51,0.06,0,0.45,0,233
233.36,0.35,1.04,3.51,0.06,0,0.45,0,233
233.38,0.19,0.85,3.51,0.06,0,0.45,0,233
233.32,0.04,0.66,3.51,0.06,0,0.45,0,233
233.18,-0.1,0.48,3.51,0.06,0,0.45,0,233
232.96,-0.23,0.32,3.51,0.06,0,0.45,0,233
232.68,-0.35,0.16,3.51,0.06,0,0.45,0,233
232.34,-0.46,0.01,3.51,0.06,0,0.45,-1,232
231.94,-0.57,-0.12,3.51,0.06,0,0.45,-1,232
231.48,-0.66,-0.25,3.51,0.06,0,0.45,-1,231
230.98,-0.75,-0.37,3.51,0.06,0,0.45,-1,231
230.44,-0.83,-0.48,3.51,0.06,0,0.45,-1,230
229.85,-0.91,-0.58,3.51,0.06,0,0.45,-1,230
229.23,-0.97,-0.67,3.51,0.06,0,0.45,-1,229
228.57,-1.03,-0.76,3.51,0.06,0,0.45,-1,229
227.88,-1.09,-0.84,3.51,0.06,0,0.45,-1,228
227.17,-1.14,-0.91,3.51,0.06,0,0.45,-1,227
226.44,-1.18,-0.98,3.51,0.06,0,0.45,-1,226
225.68,-1.22,-1.04,3.51,0.06,0,0.45,-1,226
224.9,-1.26,-1.09,3.51,0.06,0,0.45,-1,225
224.11,-1.29,-1.14,3.51,0.06,0,0.45,-1,224
223.3,-1.32,-1.18,3.51,0.06,0,0.45,-1,223
222.49,-1.34,-1.22,3.51,0.06,0,0.45,-1,222
221.66,-1.36,-1.26,3.51,0.06,0,0.45,-1,222
220.83,-1.38,-1.29,3.51,0.06,0,0.45,-1,221
219.99,-1.39,-1.31,3.51,0.06,0,0.45,-1,220
219.17,-1.37,-1.33,3.51,0.06,0,0.45,-1,219
218.47,-1.28,-1.32,3.51,0.06,0,0.45,-1,218
218.01,-1.04,-1.27,3.51,0.06,0,0.45,-1,218
217.94,-0.62,-1.14,3.51,0.06,0,0.45,0,218
218.32,-0.02,-0.93,3.51,0.06,0,0.45,0,218
219.2,0.7,-0.63,3.51,0.06,0,0.45,1,219
220.54,1.45,-0.24,3.51,0.06,0,0.45,2,221
222.27,2.18,0.21,3.51,0.06,0,0.45,3,222
224.35,2.83,0.72,3.51,0.06,0,0.45,3,224
226.67,3.37,1.25,3.51,0.06,0,0.45,4,227
229.18,3.8,1.78,3.51,0.06,0,0.45,4,229
231.8,4.1,2.28,3.51,0.06,0,0.45,4,232
234.47,4.29,2.74,3.51,0.06,0,0.45,4,234
237.12,4.37,3.15,3.51,0.06,0,0.45,4,237
239.71,4.36,3.47,3.51,0.06,0,0.45,4,240
242.19,4.26,3.72,3.51,0.06,0,0.45,4,242
244.52,4.09,3.87,3.51,0.06,0,0.45,4,245
246.68,3.85,3.95,3.51,0.06,0,0.45,4,247
248.64,3.57,3.93,3.51,0.06,0,0.45,3,249
250.38,3.24,3.84,3.51,0.06,0,0.45,3,250
251.89,2.88,3.69,3.51,0.06,0,0.45,3,252
253.15,2.5,3.48,3.51,0.06,0,0.45,2,253
254.17,2.1,3.21,3.51,0.06,0,0.45,2,254
254.93,1.69,2.91,3.51,0.06,0,0.45,1,255
255.44,1.27,2.57,3.51,0.06,0,0.45,1,255
255.71,0.86,2.22,3.51,0.06,0,0.45,1,256
255.73,0.44,1.84,3.51,0.06,0,0.45,0,256
255.51,0.04,1.45,3.51,0.06,0,0.45,0,256
255.06,-0.35,1.06,3.51,0.06,0,0.45,-1,255
254.4,-0.73,0.66,3.51,0.06,0,0.45,-1,254
253.52,-1.1,0.27,3.51,0.06,0,0.45,-1,254
252.44,-1.45,-0.11,3.51,0.06,0,0.45,-2,252
251.18,-1.78,-0.49,3.51,0.06,0,0.45,-2,251
249.74,-2.09,-0.85,3.51,0.06,0,0.45,-2,250
248.14,-2.39,-1.2,3.51,0.06,0,0.45,-3,248
246.38,-2.66,-1.54,3.51,0.06,0,0.45,-3,246
244.48,-2.91,-1.86,3.51,0.06,0,0.45,-3,244
242.46,-3.15,-2.16,3.51,0.06,0,0.45,-3,242
240.31,-3.36,-2.44,3.51,0.06,0,0.45,-4,240
238.06,-3.56,-2.7,3.51,0.06,0,0.45,-4,238
235.72,-3.74,-2.95,3.51,0.06,0,0.45,-4,236
233.29,-3.9,-3.17,3.51,0.06,0,0.45,-4,233
230.79,-4.04,-3.38,3.51,0.06,0,0.45,-4,231
228.22,-4.16,-3.57,3.51,0.06,0,0.45,-4,228
225.6,-4.27,-3.74,3.51,0.06,0,0.45,-4,226
222.93,-4.36,-3.89,3.51,0.06,0,0.45,-4,223
220.22,-4.44,-4.02,3.51,0.06,0,0.45,-4,220
217.48,-4.5,-4.14,3.51,0.06,0,0.45,-5,217
214.72,-4.55,-4.25,3.51,0.06,0,0.45,-5,215
211.95,-4.59,-4.33,3.51,0.06,0,0.45,-5,212
209.16,-4.62,-4.41,3.51,0.06,0,0.45,-5,209
206.38,-4.63,-4.47,3.51,0.06,0,0.45,-5,206
203.59,-4.64,-4.52,3.51,0.06,0,0.45,-5,204
200.82,-4.63,-4.55,3.51,0.06,0,0.45,-5,201
198.05,-4.62,-4.58,3.51,0.06,0,0.45,-5,198
195.31,-4.6,-4.59,3.51,0.06,0,0.45,-5,195
192.58,-4.57,-4.59,3.51,0.06,0,0.45,-5,193
189.88,-4.54,-4.59,3.51,0.06,0,0.45,-5,190
187.21,-4.5,-4.57,3.51,0.06,0,0.45,-4,187
184.57,-4.45,-4.55,3.51,0.06,0,0.45,-4,185
181.97,-4.4,-4.52,3.51,0.06,0,0.45,-4,182
179.4,-4.34,-4.49,3.51,0.06,0,0.45,-4,179
176.86,-4.28,-4.45,3.51,0.06,0,0.45,-4,177
174.37,-4.22,-4.4,3.51,0.06,0,0.45,-4,174
171.92,-4.15,-4.35,3.51,0.06,0,0.45,-4,172
169.51,-4.08,-4.29,3.51,0.06,0,0.45,-4,170
167.15,-4.01,-4.23,3.51,0.06,0,0.45,-4,167
164.87,-3.91,-4.16,3.51,0.06,0,0.45,-4,165
162.7,-3.77,-4.08,3.51,0.06,0,0.45,-4,163
160.66,-3.59,-3.98,3.51,0.06,0,0.45,-3,161
158.75,-3.39,-3.86,3.51,0.06,0,0.45,-3,159
156.97,-3.18,-3.72,3.51,0.06,0,0.45,-3,157
155.31,-2.98,-3.57,3.51,0.06,0,0.45,-3,155
153.75,-2.78,-3.41,3.51,0.06,0,0.45,-3,154
152.29,-2.6,-3.24,3.51,0.06,0,0.45,-2,152
150.91,-2.45,-3.08,3.51,0.06,0,0.45,-2,151
149.6,-2.31,-2.91,3.51,0.06,0,0.45,-2,150
148.35,-2.2,-2.75,3.51,0.06,0,0.45,-2,148
147.14,-2.1,-2.6,3.51,0.06,0,0.45,-2,147
145.97,-2.03,-2.46,3.51,0.06,0,0.45,-2,146
144.82,-1.96,-2.34,3.51,0.06,0,0.45,-2,145
143.7,-1.92,-2.23,3.51,0.06,0,0.45,-2,144
142.59,-1.88,-2.14,3.51,0.06,0,0.45,-2,143
141.5,-1.85,-2.06,3.51,0.06,0,0.45,-2,142
140.4,-1.83,-2,3.51,0.06,0,0.45,-2,140
139.32,-1.82,-1.95,3.51,0.06,0,0.45,-2,139
138.23,-1.81,-1.91,3.51,0.06,0,0.45,-2,138
137.15,-1.81,-1.88,3.51,0.06,0,0.45,-2,137
136.06,-1.81,-1.86,3.51,0.06,0,0.45,-2,136
134.97,-1.81,-1.84,3.51,0.06,0,0.45,-2,135
133.88,-1.82,-1.83,3.51,0.06,0,0.45,-2,134
132.79,-1.82,-1.83,3.51,0.06,0,0.45,-2,133
131.69,-1.82,-1.82,3.51,0.06,0,0.45,-2,132
130.59,-1.83,-1.82,3.51,0.06,0,0.45,-2,131
129.5,-1.83,-1.82,3.51,0.06,0,0.45,-2,130
128.4,-1.83,-1.82,3.51,0.06,0,0.45,-2,128
127.3,-1.83,-1.82,3.51,0.06,0,0.45,-2,127
126.21,-1.82,-1.82,3.51,0.06,0,0.45,-2,126
125.12,-1.82,-1.82,3.51,0.06,0,0.45,-2,125
124.04,-1.81,-1.82,3.51,0.06,0,0.45,-2,124
122.96,-1.81,-1.82,3.51,0.06,0,0.45,-2,123
121.89,-1.79,-1.81,3.51,0.06,0,0.45,-2,122
120.83,-1.78,-1.81,3.51,0.06,0,0.45,-2,121
119.78,-1.77,-1.8,3.51,0.06,0,0.45,-2,120
118.74,-1.75,-1.79,3.51,0.06,0,0.45,-2,119
117.71,-1.73,-1.78,3.51,0.06,0,0.45,-2,118
116.69,-1.71,-1.77,3.51,0.06,0,0.45,-2,117
115.67,-1.71,-1.75,3.51,0.06,0,0.45,-2,116
114.64,-1.71,-1.74,3.51,0.06,0,0.45,-2,115
113.62,-1.71,-1.74,3.51,0.06,0,0.45,-2,114
112.6,-1.7,-1.73,3.51,0.06,0,0.45,-2,113
111.6,-1.69,-1.72,3.51,0.06,0,0.45,-2,112
110.62,-1.66,-1.7,3.51,0.06,0,0.45,-2,111
109.66,-1.63,-1.69,3.51,0.06,0,0.45,-2,110
108.72,-1.6,-1.67,3.51,0.06,0,0.45,-2,109
107.81,-1.56,-1.65,3.51,0.06,0,0.4,-2,108
106.92,-1.52,-1.62,3.51,0.06,0,0.4,-1,107
106.06,-1.48,-1.59,3.51,0.06,0,0.4,-1,106
105.22,-1.44,-1.56,3.51,0.06,0,0.4,-1,105
104.41,-1.39,-1.53,3.51,0.06,0,0.4,-1,104
103.63,-1.35,-1.49,3.51,0.06,0,0.4,-1,104
102.87,-1.31,-1.45,3.51,0.06,0,0.4,-1,103
102.14,-1.26,-1.41,3.51,0.06,0,0.4,-1,102
