glucose,glucoseShortDelta,glucoseLongDelta,iob,iobActivity,insulinReq,basal,tick,eventualBG
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.26,0,0,3.51,0.06,0,0.45,0,135
135.27,0.01,0,3.51,0.06,0,0.45,0,135
135.36,0.08,0.02,3.51,0.06,0,0.45,0,135
135.7,0.3,0.08,3.51,0.06,0,0.45,0,136
136.47,0.75,0.22,3.51,0.06,0,0.45,1,136
137.8,1.45,0.46,3.51,0.06,0,0.45,2,138
139.75,2.31,0.81,3.51,0.06,0,0.45,3,140
142.28,3.24,1.26,3.51,0.06,0,0.45,4,142
145.29,4.14,1.8,3.51,0.06,0,0.45,5,145
148.72,4.94,2.4,3.51,0.06,0,0.45,6,149
152.44,5.6,3.03,3.51,0.06,0,0.45,6,152
156.39,6.11,3.67,3.51,0.06,0,0.45,6,156
160.47,6.48,4.27,3.51,0.06,0,0.45,7,160
164.6,6.71,4.83,3.51,0.06,0,0.45,7,165
168.74,6.82,5.32,3.51,0.06,0,0.45,7,169
172.82,6.83,5.72,3.51,0.06,0,0.45,7,173
176.79,6.74,6.03,3.51,0.06,0,0.45,7,177
180.63,6.58,6.24,3.51,0.06,0,0.45,6,181
184.3,6.36,6.36,3.51,0.06,0,0.45,6,184
187.78,6.09,6.38,3.51,0.06,0,0.45,6,188
191.05,5.78,6.32,3.51,0.06,0,0.45,6,191
194.1,5.44,6.18,3.51,0.06,0,0.45,5,194
196.93,5.08,5.99,3.51,0.06,0,0.45,5,197
199.53,4.71,5.75,3.51,0.06,0,0.45,4,200
201.9,4.33,5.47,3.51,0.06,0,0.45,4,202
204.04,3.95,5.16,3.51,0.06,0,0.45,4,204
205.96,3.57,4.83,3.51,0.06,0,0.45,3,206
207.66,3.2,4.48,3.51,0.06,0,0.45,3,208
209.14,2.84,4.12,3.51,0.06,0,0.45,3,209
210.43,2.49,3.77,3.51,0.06,0,0.45,2,210
211.52,2.15,3.41,3.51,0.06,0,0.45,2,212
212.43,1.83,3.06,3.51,0.06,0,0.45,2,212
213.16,1.52,2.71,3.51,0.06,0,0.45,1,213
213.72,1.23,2.38,3.51,0.06,0,0.45,1,214
214.13,0.95,2.05,3.51,0.06,0,0.45,1,214
214.4,0.69,1.74,3.51,0.06,0,0.45,1,214
214.53,0.45,1.44,3.51,0.06,0,0.45,0,215
214.53,0.23,1.16,3.51,0.06,0,0.45,0,215
214.42,0.01,0.9,3.51,0.06,0,0.45,0,214
214.19,-0.18,0.65,3.51,0.06,0,0.45,0,214
213.87,-0.36,0.41,3.51,0.06,0,0.45,0,214
213.46,-0.53,0.19,3.51,0.06,0,0.45,-1,213
212.97,-0.68,-0.01,3.51,0.06,0,0.45,-1,213
212.4,-0.82,-0.2,3.51,0.06,0,0.45,-1,212
211.76,-0.94,-0.38,3.51,0.06,0,0.45,-1,212
211.06,-1.06,-0.54,3.51,0.06,0,0.45,-1,211
210.3,-1.16,-0.69,3.51,0.06,0,0.45,-1,210
209.5,-1.25,-0.82,3.51,0.06,0,0.45,-1,210
208.65,-1.33,-0.95,3.51,0.06,0,0.45,-1,209
207.77,-1.41,-1.06,3.51,0.06,0,0.45,-1,208
206.85,-1.47,-1.16,3.51,0.06,0,0.45,-2,207
205.9,-1.53,-1.25,3.51,0.06,0,0.45,-2,206
204.93,-1.57,-1.33,3.51,0.06,0,0.45,-2,205
203.94,-1.61,-1.4,3.51,0.06,0,0.45,-2,204
202.93,-1.65,-1.46,3.51,0.06,0,0.45,-2,203
201.91,-1.68,-1.51,3.51,0.06,0,0.45,-2,202
200.88,-1.7,-1.56,3.51,0.06,0,0.45,-2,201
199.84,-1.72,-1.6,3.51,0.06,0,0.45,-2,200
198.79,-1.73,-1.63,3.51,0.06,0,0.45,-2,199
197.75,-1.74,-1.66,3.51,0.06,0,0.45,-2,198
196.7,-1.74,-1.68,3.51,0.06,0,0.45,-2,197
195.66,-1.74,-1.7,3.51,0.06,0,0.45,-2,196
194.61,-1.74,-1.71,3.51,0.06,0,0.45,-2,195
193.58,-1.73,-1.72,3.51,0.06,0,0.45,-2,194
192.55,-1.73,-1.73,3.51,0.06,0,0.45,-2,193
191.52,-1.72,-1.73,3.51,0.06,0,0.45,-2,192
190.51,-1.7,-1.72,3.51,0.06,0,0.45,-2,191
189.51,-1.69,-1.72,3.51,0.06,0,0.45,-2,190
188.51,-1.67,-1.71,3.51,0.06,0,0.45,-2,189
187.54,-1.65,-1.7,3.51,0.06,0,0.45,-2,188
186.62,-1.59,-1.68,3.51,0.06,0,0.45,-2,187
