altitude,battery,distance,accel,speed,course,timeChange,flightTime
4,99,4.8452,9.7641,0,269,1.0076,1.007
7,98,7.2325,9.8198,0,272,0.9698,1.977
9,98,9.6123,9.8085,0,284,0.9636,2.941
19,97,19.1014,9.7890,0,125,4.1061,7.047
21,97,21.4684,9.7823,0,113,0.9963,8.043
23,96,23.8345,9.8399,0,107,1.0070,9.050
26,96,26.1921,9.8407,0,106,0.9744,10.024
28,96,28.5494,9.7906,0,333,1.0131,11.038
39,94,39.7116,9.5441,0,331,6.0351,17.073
39,94,39.8669,9.7324,0,252,1.0118,18.084
39,94,39.9237,9.9064,0,260,0.9703,19.055
39,93,39.9520,9.8346,0,194,2.0761,21.131
39,93,39.9567,9.8196,0,165,1.0435,22.174
39,93,39.9612,9.8294,0,314,0.9813,23.156
39,93,39.9664,9.7985,0,46,1.9536,25.109
39,92,39.9711,9.8351,0,42,1.0401,26.149
39,92,39.9713,9.8301,0,26,1.1034,27.253
39,91,39.9844,9.8203,0,220,2.9534,30.206
39,91,39.9839,9.8159,0,259,0.9617,31.168
39,91,39.9866,9.7750,0,288,0.9900,32.158
39,91,39.9862,9.8654,0,107,1.1309,33.289
39,90,39.9857,9.8156,0,4,1.0254,34.314
39,90,39.9834,9.8373,0,81,0.9896,35.304
39,90,39.9841,9.8694,0,6,1.0054,36.309
39,89,39.9877,9.8191,0,115,2.8526,39.162
39,89,39.9872,9.8181,0,122,0.9910,40.153
39,89,39.9896,9.7936,0,307,1.0063,41.159
39,89,39.9910,9.8216,0,75,1.0537,42.213
39,88,39.9896,9.8196,0,127,1.0676,43.280
39,88,40.0570,9.8203,0,228,1.0294,44.310
39,88,40.2106,9.9330,0,327,0.9939,45.304
40,88,41.1075,9.8735,1,326,0.9761,46.280
40,87,42.6424,9.9633,1,321,1.0009,47.281
40,87,45.0219,10.0078,2,329,1.0297,48.311
40,87,48.2842,9.8917,3,323,1.0342,49.345
41,87,52.2716,9.7604,4,325,0.9626,50.307
41,86,56.5409,9.7363,4,323,0.9563,51.264
42,86,60.9493,9.9211,4,323,1.0218,52.285
42,86,65.5718,9.8698,4,323,1.0386,53.324
42,86,70.3481,9.8656,4,323,1.0539,54.378
43,85,75.2156,9.8288,4,323,1.0030,55.381
43,85,80.1562,9.8709,4,323,0.9460,56.327
43,85,85.1351,9.8275,4,323,1.0283,57.355
44,85,90.1538,9.7686,4,323,1.0169,58.372
44,84,95.1787,9.8566,5,324,1.0091,59.381
44,84,100.2193,9.8223,5,324,1.0317,60.413
45,84,105.2634,9.8257,5,324,1.0033,61.416
45,84,110.3148,9.8060,5,324,0.9701,62.386
46,83,115.3676,9.8977,5,324,1.0057,63.392
