altitude,battery,distance,accel,speed,course,timeChange,flightTime
4,99,4.8450,9.7646,0,269,1.0263,1.026
7,98,7.2324,9.8185,0,273,0.9507,1.977
9,98,9.6122,9.8091,0,284,1.0126,2.989
19,97,19.1018,9.7895,0,131,3.9569,6.946
21,97,21.4689,9.7827,0,114,1.0065,7.953
23,96,23.8351,9.8402,0,111,1.0270,8.980
26,96,26.1929,9.8401,0,102,1.0675,10.047
28,96,28.5502,9.7911,0,330,0.9971,11.044
39,94,39.7118,9.5421,0,328,6.0603,17.104
39,94,39.8670,9.7323,0,251,0.9891,18.094
39,94,39.9237,9.9040,0,262,0.9524,19.046
39,93,39.9519,9.8353,0,204,2.0713,21.117
39,93,39.9566,9.8186,0,177,1.0129,22.130
39,93,39.9611,9.8287,0,311,1.0677,23.198
39,93,39.9664,9.7985,0,45,1.9545,25.152
39,92,39.9710,9.8348,0,46,1.0036,26.156
39,92,39.9712,9.8300,0,33,1.0098,27.166
39,91,39.9843,9.8209,0,200,3.0821,30.248
39,91,39.9843,9.8138,0,252,0.9573,31.205
39,91,39.9866,9.7803,0,297,0.9719,32.177
39,91,39.9862,9.8672,0,78,0.9682,33.145
39,90,39.9856,9.8140,0,359,0.9861,34.131
40,90,40.7822,9.9809,0,186,2.1014,36.233
40,90,42.2673,10.0125,1,182,1.0575,37.290
40,89,44.6042,10.0760,2,183,1.0321,38.322
40,89,47.8428,9.9359,3,184,1.0353,39.358
41,89,51.7657,9.7275,3,191,0.9657,40.323
42,89,55.8754,9.6942,4,185,0.9462,41.270
42,88,60.1620,9.8280,4,186,0.9375,42.207
42,88,64.6854,9.8320,4,184,1.0667,43.274
43,88,69.3821,9.8505,4,183,0.9992,44.273
43,88,74.1962,9.8205,4,183,1.0685,45.341
44,87,79.0968,9.8164,4,183,1.0450,46.386
44,87,84.0572,9.8320,4,183,1.0012,47.388
45,87,89.0670,9.8535,5,183,1.0498,48.437
45,87,94.1022,9.7896,5,183,0.9696,49.407
45,86,99.1507,9.7829,5,184,0.9330,50.340
46,86,104.2162,9.8278,5,184,1.0203,51.360
46,86,109.2885,9.9248,5,184,1.0132,52.374
