altitude,battery,distance,accel,speed,course,timeChange,flightTime
5,99,5.1779,9.6921,0,279,1.0248,1.024
7,98,7.5557,9.8079,0,275,1.0490,2.073
9,98,9.9365,9.8091,0,285,1.0155,3.089
19,97,19.4328,9.8335,0,70,4.0122,7.101
21,97,21.7932,9.8341,0,18,1.0005,8.102
24,96,24.1624,9.7857,0,123,1.0484,9.150
26,96,26.5247,9.7844,0,83,0.9812,10.131
28,96,28.8867,9.8414,0,109,0.9940,11.125
31,96,31.2389,9.8446,0,59,1.0258,12.151
33,95,33.5921,9.7964,0,315,1.0358,13.187
39,94,39.8800,9.7669,0,316,5.0489,18.236
39,94,39.9252,9.7587,0,300,1.0175,19.253
39,93,39.9549,9.8294,0,163,3.9079,23.161
39,93,39.9596,9.8149,0,175,1.0032,24.164
39,93,39.9646,9.8272,0,332,1.0419,25.206
39,92,39.9707,9.7986,0,29,2.0821,27.288
39,92,39.9752,9.8345,0,37,1.0034,28.292
39,91,39.9869,9.8223,0,195,3.9028,32.194
39,91,39.9861,9.8147,0,254,1.0069,33.201
39,90,39.9881,9.7799,0,310,1.1161,34.317
39,90,39.9874,9.8665,0,75,1.0523,35.370
39,90,39.9865,9.8154,0,65,1.0049,36.375
39,90,39.9828,9.8394,0,82,0.9914,37.366
39,89,39.9834,9.8658,0,352,0.9276,38.294
39,89,39.9872,9.8198,0,110,3.0291,41.323
39,89,39.9867,9.8162,0,103,1.0767,42.399
39,88,39.9899,9.7908,0,317,1.0264,43.426
39,88,40.0599,9.8247,0,52,1.0259,44.452
40,88,40.3615,9.9399,0,320,0.9514,45.403
40,88,41.4133,9.8974,1,320,0.9707,46.374
40,87,43.1277,10.0449,1,314,0.9867,47.361
40,87,45.7029,10.0137,2,324,0.9924,48.353
41,87,49.1625,9.9145,3,318,1.0334,49.386
41,87,53.2867,9.7086,4,320,1.0447,50.431
42,86,57.5623,9.7102,4,319,1.0732,51.504
42,86,62.0116,9.7833,4,319,0.9713,52.476
42,86,66.6698,9.8343,4,319,0.9863,53.462
43,86,71.4700,9.9303,4,318,0.9743,54.436
43,85,76.3595,9.8726,4,318,1.0122,55.449
44,85,81.3141,9.8690,4,319,1.0253,56.474
44,85,86.2954,9.8265,4,319,1.0545,57.528
45,85,91.3069,9.8695,4,319,1.0452,58.574
45,84,96.3342,9.8244,5,319,0.9805,59.554
45,84,101.3819,9.7685,5,319,0.9988,60.553
46,84,106.4273,9.8565,5,319,0.9468,61.500
46,84,111.4798,9.8248,5,319,0.9998,62.499
47,83,116.5265,9.8239,5,319,1.0539,63.553
47,83,121.5788,9.8097,5,319,1.0621,64.615
48,83,126.6332,9.8983,5,319,1.0206,65.636
48,83,131.6848,9.8212,5,319,0.9780,66.614
48,82,136.7336,9.8356,5,319,0.9768,67.591
49,82,141.7884,9.8276,5,319,1.0024,68.593
49,82,146.8384,9.8483,5,319,0.9945,69.588
50,82,151.8977,9.8651,5,319,1.0309,70.619
50,81,156.9605,9.8390,5,319,1.0814,71.700
51,81,162.0253,9.8581,5,319,1.0254,72.725
51,81,167.0911,9.8322,5,319,0.9974,73.723
52,81,172.1483,9.7463,5,319,1.0025,74.725
52,80,177.1979,9.8257,5,319,0.9716,75.697
52,80,182.2483,9.8091,5,319,0.9710,76.668
53,80,187.3018,9.8048,5,319,1.0104,77.678
53,80,192.3719,9.7699,5,319,1.0364,78.715
54,79,197.4343,9.7950,5,319,1.0307,79.746
54,79,202.4917,9.8216,5,319,0.9556,80.701
55,79,207.5492,9.8182,5,319,0.9828,81.684
55,79,212.6018,9.7336,5,319,1.0302,82.714
