altitude,battery,distance,accel,speed,course,timeChange,flightTime
4,99,4.7417,9.7717,0,275,1.0268,1.026
7,98,7.1354,9.7988,0,264,1.0559,2.082
9,98,9.5111,9.8350,0,290,0.9290,3.011
11,98,11.8926,9.8032,0,280,0.9859,3.997
16,97,16.6413,9.8308,0,62,2.1080,6.105
19,97,19.0067,9.8343,0,32,0.9520,7.057
21,97,21.3800,9.7895,0,124,0.9585,8.016
23,96,23.7456,9.7837,0,97,0.9288,8.944
26,96,26.1114,9.8392,0,107,1.0058,9.950
28,96,28.4681,9.8448,0,80,1.0771,11.027
30,96,30.8242,9.7902,0,317,1.0558,12.083
39,94,39.7123,9.5672,0,242,5.0665,17.150
39,94,39.8624,9.7157,0,289,1.0014,18.151
39,94,39.9217,9.7801,0,251,0.9255,19.077
39,93,39.9524,9.8321,0,120,3.0878,22.164
39,93,39.9568,9.8174,0,148,1.0217,23.186
39,93,39.9610,9.8266,0,328,1.0009,24.187
39,92,39.9675,9.7983,0,27,1.9556,26.143
39,92,39.9721,9.8348,0,36,1.0759,27.219
39,91,39.9858,9.8214,0,206,4.1004,31.319
39,91,39.9853,9.8150,0,260,0.9917,32.311
39,91,39.9868,9.7777,0,283,0.9936,33.304
39,90,39.9874,9.8671,0,80,1.0262,34.331
39,90,39.9865,9.8147,0,49,0.9535,35.284
39,90,39.9832,9.8406,0,79,1.0015,36.286
39,90,39.9838,9.8697,0,356,0.9942,37.280
39,89,39.9877,9.8213,0,112,3.0474,40.327
39,89,39.9872,9.8171,0,110,1.0345,41.362
39,89,39.9904,9.7949,0,325,1.0304,42.392
39,88,39.9912,9.8223,0,46,0.9847,43.377
39,88,40.0527,9.8197,0,262,1.0151,44.392
39,88,40.2061,9.9455,0,340,0.9715,45.363
40,88,41.1097,9.9202,1,345,1.0346,46.398
40,87,42.6660,9.9951,1,343,1.0467,47.445
40,87,45.0707,10.0346,2,344,1.0402,48.485
41,87,48.3760,9.9736,3,343,0.9431,49.428
41,87,52.3871,9.7161,4,343,0.9496,50.378
42,86,56.6452,9.6705,4,343,0.9950,51.372
42,86,61.0429,9.8262,4,342,1.0419,52.414
43,86,65.6628,9.9306,4,342,1.0764,53.491
43,86,70.4362,9.8652,4,342,1.0422,54.533
43,85,75.3144,9.8688,4,342,0.9837,55.517
44,85,80.2478,9.8213,4,342,0.9614,56.478
44,85,85.2283,9.8737,4,343,1.0327,57.511
45,85,90.2362,9.8244,4,343,1.0079,58.519
45,84,95.2755,9.7736,5,343,0.9714,59.490
46,84,100.3124,9.8571,5,343,1.0175,60.508
46,84,105.3605,9.8258,5,343,0.9968,61.504
47,84,110.4076,9.8124,5,343,1.0497,62.554
47,83,115.4636,9.8091,5,343,1.0486,63.603
48,83,120.5215,9.8982,5,343,0.9972,64.600
48,83,125.5765,9.8229,5,343,0.9742,65.574
49,83,130.6289,9.8336,5,343,1.0249,66.599
49,82,135.6880,9.8253,5,343,1.0125,67.611
50,82,140.7444,9.8548,5,343,1.0338,68.645
50,82,145.8120,9.8653,5,343,0.9440,69.589
51,82,150.8825,9.8373,5,343,1.0579,70.647
51,81,155.9535,9.8596,5,343,1.0067,71.654
52,81,161.0251,9.8328,5,343,0.9841,72.638
52,81,166.0854,9.7429,5,343,1.0272,73.665
53,81,171.1436,9.8350,5,343,1.0189,74.684
53,80,176.2017,9.8075,5,343,1.0249,75.709
53,80,181.2619,9.8022,5,343,0.9708,76.679
54,80,186.3353,9.7676,5,343,0.9798,77.659
54,80,191.4072,9.7925,5,343,1.0222,78.681
55,79,196.4743,9.8195,5,343,1.0629,79.744
55,79,201.5433,9.8160,5,343,1.0522,80.796
56,79,206.6127,9.7344,5,343,1.0214,81.818
56,79,211.6785,9.8017,5,343,0.9817,82.800
57,78,216.7451,9.8654,5,343,0.9435,83.743
57,78,221.8082,9.8407,5,343,0.9802,84.723
58,78,226.8644,9.7734,5,343,0.9873,85.711
58,78,231.9230,9.8312,5,343,1.0430,86.754
59,77,236.9899,9.8498,5,343,1.0006,87.754
59,77,242.0612,9.8485,5,343,1.0251,88.779
60,77,247.1257,9.8986,5,343,1.0781,89.857
60,77,252.2009,9.8658,5,343,1.0346,90.892
61,76,257.2710,9.7764,5,343,0.9986,91.890
61,76,262.3416,9.8241,5,343,1.0012,92.892
62,76,267.4095,9.8250,5,343,0.9589,93.851
62,76,272.4783,9.8125,5,343,0.9763,94.827
63,75,277.5450,9.9531,5,343,1.0399,95.867
63,75,282.6080,9.8307,5,343,1.0414,96.908
