altitude,battery,distance,accel,speed,course,timeChange,flightTime
4,99,4.9785,9.7656,0,271,1.0032,1.003
16,97,16.8716,9.8315,0,71,5.0786,6.081
19,97,19.2358,9.8331,0,34,0.9681,7.049
21,97,21.6087,9.7886,0,125,0.9957,8.045
23,96,23.9736,9.7837,0,94,1.0396,9.085
26,96,26.3398,9.8382,0,112,1.0566,10.141
28,96,28.6957,9.8477,0,74,0.9780,11.119
30,96,31.0514,9.7900,0,313,1.0268,12.146
39,94,39.7350,9.6018,0,317,5.0043,17.150
39,94,39.8706,9.7238,0,297,1.0317,18.182
39,93,39.9527,9.8317,0,149,3.9822,22.164
39,93,39.9570,9.8170,0,164,1.0464,23.211
39,93,39.9615,9.8279,0,333,1.0187,24.229
39,92,39.9678,9.7986,0,29,1.9922,26.222
39,92,39.9724,9.8361,0,29,1.0208,27.242
39,91,39.9861,9.8211,0,205,4.0323,31.275
39,91,39.9854,9.8157,0,249,1.0045,32.279
39,91,39.9870,9.7764,0,299,1.0012,33.280
39,90,39.9876,9.8666,0,82,1.0461,34.327
39,90,39.9866,9.8162,0,53,1.0158,35.342
39,90,39.9832,9.8413,0,80,1.0014,36.344
39,90,39.9838,9.8688,0,355,0.9922,37.336
39,89,39.9877,9.8208,0,111,3.0340,40.370
39,89,39.9872,9.8170,0,106,0.9841,41.354
39,89,39.9906,9.7939,0,319,1.0164,42.371
39,88,39.9912,9.8213,0,48,1.0444,43.415
39,88,40.0616,9.8357,0,267,0.9904,44.405
40,88,40.3644,9.9861,0,316,0.9810,45.386
40,88,41.4303,9.9487,1,317,1.0476,46.434
40,87,43.1686,10.1204,1,310,0.9811,47.415
40,87,45.8038,10.1220,2,321,0.9989,48.414
41,87,49.3506,9.9911,3,314,1.0237,49.438
42,87,53.5415,9.5013,4,316,1.0311,50.469
43,86,57.8198,9.6744,4,315,0.9948,51.464
44,86,62.2615,9.8332,4,315,0.9915,52.455
44,86,66.9167,9.9387,4,315,0.9834,53.439
45,86,71.7155,9.8723,4,315,1.0237,54.462
46,85,76.6007,9.8726,4,315,1.0768,55.539
46,85,81.5380,9.8205,4,315,0.9867,56.526
47,85,86.5189,9.8776,4,315,0.9565,57.482
48,85,91.5280,9.8107,4,315,1.0110,58.493
48,84,96.5570,9.7832,4,315,1.0712,59.565
49,84,101.5900,9.8439,4,315,0.9915,60.556
50,84,106.6319,9.8400,4,316,0.9955,61.552
50,84,111.6725,9.8092,4,316,0.9662,62.518
51,83,116.7161,9.8163,4,316,1.0413,63.559
52,83,121.7649,9.9082,5,316,1.0253,64.584
52,83,126.8097,9.8320,4,316,1.0303,65.615
53,83,131.8517,9.8404,4,316,1.0524,66.667
54,82,136.8996,9.8319,4,316,1.0403,67.707
55,82,141.9462,9.8525,5,316,1.0077,68.715
55,82,146.9999,9.8602,5,316,0.9649,69.680
