altitude,battery,distance,accel,speed,course,timeChange,flightTime
4,99,4.7445,9.7015,0,281,1.0225,1.022
7,98,7.1270,9.8022,0,270,1.0115,2.034
9,98,9.5064,9.8162,0,285,1.0571,3.091
18,97,19.0029,9.8322,0,73,4.0517,7.142
21,97,21.3640,9.8352,0,17,1.0175,8.160
23,96,23.7333,9.7830,0,123,0.9693,9.129
26,96,26.0956,9.7838,0,84,0.9711,10.100
28,96,28.4584,9.8382,0,109,1.0166,11.117
30,96,30.8113,9.8453,0,60,1.0565,12.174
33,95,33.1649,9.7907,0,313,1.0191,13.193
39,94,39.8654,9.7554,0,316,5.0600,18.253
39,94,39.9198,9.7554,0,299,0.9665,19.219
39,93,39.9546,9.8296,0,166,4.0695,23.289
39,93,39.9591,9.8152,0,176,0.9962,24.285
39,93,39.9639,9.8268,0,329,0.9618,25.247
39,92,39.9702,9.7981,0,64,1.9266,27.173
39,92,39.9747,9.8348,0,37,1.0441,28.217
39,92,39.9751,9.8310,0,15,1.0384,29.256
39,91,39.9869,9.8221,0,202,3.1059,32.362
39,91,39.9862,9.8152,0,240,1.0337,33.395
39,90,39.9881,9.7796,0,285,0.9732,34.369
40,90,40.9424,9.9339,0,339,1.9331,36.302
40,90,42.4156,10.0561,1,336,1.0073,37.309
40,89,44.7340,10.1084,2,339,0.9847,38.294
41,89,47.9556,9.9885,3,336,1.0535,39.347
41,89,51.9166,9.8934,3,337,1.0338,40.381
42,89,56.1875,9.6764,4,336,1.0438,41.425
43,88,60.5458,9.8322,4,336,0.9999,42.425
43,88,65.1354,9.8141,4,336,0.9516,43.376
44,88,69.8828,9.8377,4,336,1.0038,44.380
44,88,74.7340,9.8241,4,336,1.0302,45.410
45,87,79.6536,9.8502,4,336,1.0706,46.481
45,87,84.6199,9.8119,4,336,0.9977,47.479
46,87,89.6132,9.8209,4,336,0.9487,48.427
47,87,94.6257,9.8193,4,336,1.0174,49.445
47,86,99.6559,9.8483,4,336,1.0345,50.479
48,86,104.6939,9.7803,5,336,1.0655,51.545
48,86,109.7352,9.7783,5,336,1.0201,52.565
49,86,114.7829,9.8218,5,336,0.9147,53.480
50,85,119.8348,9.9200,5,336,1.0426,54.522
50,85,124.8938,9.8529,5,336,1.0098,55.532
51,85,129.9498,9.8631,5,336,1.0355,56.568
51,85,134.9985,9.8152,5,336,0.9920,57.560
52,84,140.0506,9.8743,5,336,0.9692,58.529
53,84,145.1039,9.8160,5,336,1.0090,59.538
53,84,150.1662,9.7793,5,336,1.0700,60.608
54,84,155.2178,9.8544,5,336,1.0414,61.649
54,83,160.2728,9.8259,5,336,1.0246,62.674
55,83,165.3203,9.8078,5,336,1.0209,63.695
56,83,170.3719,9.8116,5,336,1.0296,64.724
56,83,175.4228,9.9012,5,336,0.9988,65.723
57,82,180.4731,9.8277,5,336,1.0025,66.726
57,82,185.5195,9.8350,5,336,1.0126,67.738
58,82,190.5711,9.8272,5,336,1.0131,68.751
58,82,195.6220,9.8508,5,336,0.9952,69.747
59,81,200.6814,9.8599,5,336,1.0086,70.755
60,81,205.7374,9.8412,5,336,1.0612,71.816
60,81,210.7998,9.8523,5,336,0.9663,72.783
61,81,215.8633,9.8414,5,336,0.9930,73.776
61,80,220.9155,9.7416,5,336,0.9833,74.759
62,80,225.9648,9.8341,5,336,1.0127,75.772
63,80,231.0200,9.7959,5,336,1.0633,76.835
63,80,236.0747,9.8057,5,336,1.0263,77.861
64,79,241.1421,9.7697,5,336,0.9794,78.841
64,79,246.2036,9.7947,5,336,0.9879,79.829
65,79,251.2624,9.8182,5,336,0.9518,80.781
66,79,256.3183,9.8189,5,336,1.0101,81.791
66,78,261.3763,9.7269,5,336,1.0403,82.831
67,78,266.4332,9.8051,5,336,1.0336,83.865
67,78,271.4921,9.8666,5,336,0.9723,84.837
68,78,276.5409,9.8512,5,336,1.0439,85.881
69,77,281.5990,9.7709,5,336,1.0413,86.922
69,77,286.6511,9.8346,5,336,0.9768,87.899
70,77,291.7098,9.8482,5,336,0.9730,88.872
70,77,296.7719,9.8514,5,336,1.0223,89.894
71,76,301.8264,9.8970,5,336,1.0140,90.908
71,76,306.8904,9.8708,5,336,1.0413,91.950
72,76,311.9512,9.7756,5,336,1.0016,92.951
73,76,317.0094,9.8252,5,336,0.9400,93.891
73,75,322.0671,9.8262,5,336,0.9913,94.883
74,75,322.0671,9.7798,5,336,1.0423,95.925
74,75,322.0671,9.6448,4,336,1.0791,97.004
74,75,322.0671,9.2216,3,340,0.9964,98.000
74,74,322.7919,9.7545,4,349,1.0086,99.009
73,74,327.0013,9.8610,4,351,0.9726,99.982
72,74,331.1967,9.8343,4,354,0.9690,100.951
72,74,335.3915,9.9387,4,357,1.0275,101.978
71,73,339.5945,9.8092,4,359,0.9596,102.938
70,73,343.8062,9.8686,4,0,1.0416,103.979
70,73,348.0105,9.8002,4,1,1.1113,105.091
69,73,352.2265,9.8642,4,1,1.0210,106.112
68,72,356.4583,9.7964,4,1,1.0352,107.147
67,72,360.6963,9.8176,4,1,1.0440,108.191
67,72,364.9399,9.8169,4,1,1.0006,109.191
66,72,369.1765,9.7904,4,0,0.9218,110.113
65,72,373.4161,9.7843,4,0,0.9655,111.079
65,71,377.6515,9.8033,4,0,0.9379,112.017
64,71,381.8952,9.8245,4,0,1.0458,113.062
63,71,386.1344,9.8425,4,359,1.0257,114.088
63,71,390.3839,9.8057,4,359,1.0521,115.140
62,70,394.6363,9.8353,4,359,1.0834,116.224
61,70,398.8965,9.7831,4,359,1.0081,117.232
60,70,403.1535,9.7904,4,359,0.9614,118.193
60,70,407.4233,9.7533,4,359,0.9715,119.165
59,69,411.6747,9.8336,4,359,1.0181,120.183
58,69,415.9433,9.8572,4,359,1.0646,121.247
