altitude,battery,distance,accel,speed,course,timeChange,flightTime
4,99,4.8351,9.7725,0,272,0.9890,0.989
9,98,9.5991,9.8373,0,288,1.9482,2.937
11,98,11.9773,9.8046,0,279,0.9699,3.907
16,97,16.7200,9.8323,0,65,2.0299,5.937
19,97,19.0820,9.8335,0,32,1.0864,7.023
21,97,21.4530,9.7852,0,125,1.0373,8.060
23,96,23.8161,9.7849,0,100,1.0169,9.077
26,96,26.1797,9.8393,0,108,0.9756,10.053
28,96,28.5342,9.8415,0,88,0.9626,11.015
30,96,30.8881,9.7912,0,316,0.9847,12.000
39,94,39.7168,9.5824,0,325,5.1608,17.161
39,94,39.8649,9.7176,0,297,1.0551,18.216
39,94,39.9246,9.7781,0,254,0.9877,19.204
39,93,39.9555,9.8314,0,142,2.9327,22.136
39,93,39.9601,9.8171,0,150,1.0245,23.161
39,93,39.9643,9.8253,0,326,1.0131,24.174
39,92,39.9700,9.7990,0,28,2.0491,26.223
39,92,39.9742,9.8342,0,33,0.9890,27.212
39,91,39.9863,9.8215,0,205,4.0681,31.280
39,91,39.9857,9.8144,0,256,1.0179,32.298
39,91,39.9873,9.7781,0,338,0.9763,33.274
39,90,39.9878,9.8672,0,84,0.9891,34.263
39,90,39.9870,9.8174,0,44,0.9739,35.237
39,90,40.1154,10.0247,0,220,1.0185,36.256
40,90,41.0094,10.0341,1,221,1.0150,37.271
40,89,42.6044,10.1072,1,215,1.0922,38.363
40,89,45.0974,10.1913,2,218,1.0157,39.379
41,89,48.5128,10.0576,3,221,0.9599,40.339
42,89,52.5737,9.6037,4,222,1.0310,41.370
43,88,56.7629,9.6573,4,219,1.0848,42.455
44,88,61.0948,9.8523,4,219,0.9575,43.412
44,88,65.6609,9.8373,4,218,0.9395,44.352
45,88,70.3875,9.8725,4,218,0.9437,45.295
46,87,75.2229,9.8188,4,217,0.9668,46.262
46,87,80.1320,9.8282,4,217,1.0744,47.337
47,87,85.0945,9.8188,4,218,1.0429,48.379
48,87,90.0963,9.8519,4,218,1.0597,49.439
49,86,95.1201,9.7769,4,218,1.0556,50.495
49,86,100.1560,9.7844,4,218,0.9591,51.454
50,86,105.2071,9.8164,4,218,0.9808,52.435
51,86,110.2604,9.9326,4,219,1.0321,53.467
52,85,115.3219,9.8477,5,219,0.9610,54.428
52,85,120.3826,9.8698,4,219,1.0094,55.437
53,85,125.4325,9.8133,4,219,1.0336,56.471
54,85,130.4865,9.8758,4,219,1.0349,57.505
55,84,135.5436,9.8130,5,219,1.0028,58.508
56,84,140.6064,9.7770,4,219,1.0108,59.519
56,84,145.6589,9.8460,4,219,0.9687,60.488
57,84,150.7134,9.8355,4,219,1.0041,61.492
58,83,155.7636,9.8181,4,219,0.9915,62.483
59,83,160.8144,9.8232,4,219,1.0638,63.547
59,83,165.8665,9.9100,4,219,1.0539,64.601
60,83,170.9137,9.8275,4,219,1.0355,65.637
61,82,175.9572,9.8467,4,219,0.9774,66.614
62,82,181.0056,9.8291,4,219,0.9656,67.580
62,82,186.0523,9.8594,4,219,0.9885,68.568
63,82,191.1096,9.8608,4,219,1.0205,69.589
64,81,196.1697,9.8513,5,219,1.0190,70.608
65,81,201.2293,9.8435,5,219,1.0778,71.685
65,81,206.2865,9.8377,5,219,0.9832,72.669
66,81,211.3371,9.7367,4,219,0.9726,73.641
67,80,216.3827,9.8372,4,219,1.0316,74.673
68,80,221.4319,9.7896,4,219,1.0168,75.690
68,80,226.4808,9.8042,4,219,1.0172,76.707
69,80,231.5461,9.7611,5,219,0.9538,77.661
70,79,236.6013,9.7972,4,219,0.9611,78.622
71,79,241.6580,9.8116,5,219,1.0110,79.633
71,79,246.7120,9.8236,4,219,1.0872,80.720
72,79,251.7652,9.7212,5,219,1.0031,81.723
73,78,256.8171,9.8168,4,219,0.9831,82.706
74,78,261.8712,9.8598,4,219,0.9696,83.676
74,78,266.9145,9.8522,4,219,1.0449,84.720
75,77,271.9695,9.7632,4,219,1.0079,85.728
76,77,277.0137,9.8374,4,219,1.0211,86.749
77,77,282.0776,9.8419,5,219,0.9687,87.718
77,77,287.1358,9.8599,4,219,0.9567,88.675
78,76,292.1949,9.8967,5,219,1.0082,89.683
79,76,297.2517,9.8728,4,219,1.0510,90.734
80,76,302.3086,9.7814,5,219,1.0463,91.780
80,76,307.3634,9.8317,4,219,0.9991,92.779
81,75,312.4205,9.8377,5,219,1.0041,93.784
82,75,317.4715,9.8063,4,219,0.9652,94.749
83,75,322.5295,9.9705,4,219,0.9963,95.745
84,75,327.5861,9.8304,5,219,1.0236,96.769
84,74,332.6361,9.8226,4,219,1.0656,97.834
85,74,337.7032,9.7685,5,219,0.9900,98.824
86,74,338.6643,9.5952,5,219,0.9650,99.789
86,74,338.4835,9.5872,4,217,0.9740,100.763
86,73,338.6761,9.8136,3,211,1.0941,101.857
86,73,339.4937,9.9503,2,193,1.0799,102.937
86,73,340.9875,9.8539,1,158,1.0474,103.985
86,73,343.2562,9.8998,2,143,0.9462,104.931
86,72,346.4369,9.8523,3,131,0.9655,105.897
86,72,350.3812,9.8168,4,126,1.0022,106.899
86,72,354.6097,9.8372,4,123,1.0434,107.942
86,72,359.0484,9.7653,4,122,0.9941,108.936
86,72,363.7195,9.8111,4,122,1.0108,109.947
86,71,368.5384,9.7597,4,122,1.0225,110.969
86,71,373.4630,9.8428,4,122,0.9559,111.925
86,71,378.4462,9.8206,4,122,1.0016,112.927
86,71,383.4786,9.8403,5,123,1.0164,113.943
86,70,388.5351,9.8330,5,124,1.0311,114.974
86,70,393.6169,9.7968,5,124,1.0112,115.986
86,70,398.7119,9.8010,5,124,1.0087,116.994
86,70,403.8258,9.7730,5,125,1.0482,118.043
86,69,408.9333,9.8502,5,125,1.0275,119.070
86,69,414.0453,9.8520,5,125,0.9632,120.033
86,69,419.1672,9.8157,5,125,0.9089,120.942
86,69,424.2808,9.8170,5,125,1.0250,121.967
86,68,429.3907,9.7416,5,125,1.0087,122.976
86,68,434.5024,9.8388,5,125,1.0187,123.995
86,68,439.6193,9.8588,5,125,1.0219,125.016
86,68,444.7515,9.8072,5,125,1.0146,126.031
86,67,449.8827,9.8097,5,125,0.9672,126.998
86,67,455.0022,9.7568,5,125,1.0471,128.045
86,67,460.1366,9.8390,5,125,1.0462,129.092
86,67,465.2719,9.7651,5,125,1.0113,130.103
86,66,470.3947,9.8633,5,125,0.9995,131.102
86,66,475.5228,9.8355,5,125,0.9413,132.044
86,66,480.6569,9.7214,5,125,1.0252,133.069
86,66,485.7860,9.8570,5,125,1.0334,134.102
86,65,490.9133,9.8991,5,125,1.0268,135.129
86,65,496.0452,9.7683,5,125,0.9881,136.117
86,65,501.1817,9.7937,5,125,1.0033,137.120
86,65,506.3206,9.8505,5,125,0.9737,138.094
86,64,511.4800,9.8111,5,125,1.0005,139.095
86,64,516.6325,9.7903,5,125,0.9886,140.083
86,64,521.7812,9.8032,5,125,1.0907,141.174
86,64,526.9176,9.8352,5,125,1.0467,142.221
86,63,532.0677,9.7104,5,125,1.0402,143.261
86,63,539.2726,9.9351,5,125,0.9657,144.227
87,62,539.2726,9.8464,0,35,5.0943,149.321
87,62,539.7192,9.8542,0,351,1.0123,150.333
87,61,541.2570,9.8157,1,351,0.9973,151.330
87,61,543.7263,9.8466,2,354,0.9925,152.323
87,61,547.1209,9.8442,3,350,0.9481,153.271
87,61,551.1498,9.7610,4,350,0.9927,154.264
87,61,555.3331,9.8495,4,349,0.9930,155.257
87,60,559.7531,9.7628,4,350,0.9936,156.250
87,60,564.3729,9.8235,4,350,1.1001,157.350
87,60,569.1434,9.7996,4,350,1.0306,158.381
87,60,574.0008,9.8868,4,351,1.0380,159.419
87,59,578.9254,9.8539,4,351,0.9990,160.418
87,59,583.8920,9.8238,4,351,0.9417,161.360
87,59,588.8995,9.7991,5,351,0.9673,162.327
87,59,593.9175,9.8049,5,352,1.0519,163.379
87,58,598.9597,9.8092,5,352,0.9888,164.368
87,58,603.9952,9.7873,5,352,1.1256,165.493
87,58,609.0381,9.8122,5,352,1.0680,166.561
87,58,614.0845,9.8430,5,352,1.0438,167.605
86,57,619.1410,9.8180,5,352,0.9199,168.525
86,57,624.1924,9.7712,5,352,0.9211,169.446
86,57,629.2607,9.8471,5,352,0.9674,170.414
87,57,634.3251,9.7635,5,352,1.0376,171.451
87,56,639.3824,9.7697,5,352,1.0512,172.502
87,56,644.4485,9.7914,5,352,1.0847,173.587
87,56,649.5168,9.7510,5,352,1.0455,174.633
86,56,654.5841,9.8496,5,352,1.0311,175.664
86,55,659.6440,9.8308,5,352,1.0056,176.669
86,55,664.7148,9.8289,5,352,0.9566,177.626
86,55,669.7793,9.8866,5,352,0.9638,178.590
86,55,674.8566,9.8257,5,352,1.0304,179.620
86,54,679.9275,9.8231,5,352,0.9561,180.576
86,54,685.0070,9.8726,5,352,0.9939,181.570
86,54,690.0847,9.8329,5,352,1.0289,182.599
86,54,695.1659,9.8523,5,352,1.0581,183.657
86,53,700.2473,9.7814,5,352,1.0913,184.748
86,53,705.3237,9.7948,5,352,0.9882,185.737
86,53,710.4059,9.9143,5,352,0.9588,186.695
86,53,715.4879,9.8094,5,352,0.9984,187.694
86,52,720.5635,9.7875,5,352,1.0335,188.727
86,52,725.6506,9.7783,5,352,0.9965,189.724
86,52,730.7244,9.8541,5,352,1.0143,190.738
86,52,735.8092,9.8228,5,352,1.0141,191.752
86,51,740.8780,9.8387,5,352,1.0124,192.764
86,51,745.9631,9.8240,5,352,1.0155,193.780
86,51,751.0424,9.7590,5,352,1.0335,194.813
86,51,756.1289,9.8021,5,352,1.0193,195.833
86,50,761.2160,9.8126,5,352,0.9099,196.743
86,50,766.3031,9.8696,5,352,0.9654,197.708
86,50,771.3970,9.8372,5,352,0.9921,198.700
86,50,776.4930,9.7406,5,352,0.9961,199.696
86,49,781.5945,9.8362,5,352,1.0835,200.780
86,49,786.6881,9.7933,5,352,1.0560,201.836
86,49,791.7788,9.8065,5,352,1.0398,202.875
86,49,796.8743,9.8017,5,352,1.0495,203.925
86,48,801.9666,9.8024,5,352,0.9366,204.862
86,48,807.0499,9.8108,5,352,1.0627,205.924
86,48,812.1466,9.8759,5,352,0.9703,206.895
86,48,817.2416,9.8037,5,352,1.0154,207.910
86,47,822.3496,9.7892,5,352,0.9787,208.889
86,47,827.4528,9.8912,5,352,0.9684,209.857
86,47,832.5493,9.8076,5,352,0.9554,210.813
86,47,837.6458,9.8083,5,352,1.0138,211.826
86,46,842.7470,9.7827,5,352,1.0015,212.828
86,46,847.8357,9.7930,5,352,1.0888,213.917
86,46,852.9408,9.7667,5,352,1.0351,214.952
86,46,858.0400,9.8317,5,352,1.0618,216.014
86,46,863.1351,9.8449,5,352,1.0431,217.057
86,45,868.2282,9.8337,5,352,0.9751,218.032
86,45,873.3330,9.8092,5,352,1.0216,219.053
86,45,878.4356,9.8511,5,352,0.9404,219.994
86,45,883.5380,9.8244,5,352,0.9032,220.897
86,44,888.6428,9.8455,5,352,0.9694,221.866
86,44,893.7461,9.8181,5,352,0.9542,222.821
86,44,898.8516,9.8232,5,352,1.0447,223.865
86,44,903.9552,9.7601,5,352,1.0823,224.948
86,43,909.0668,9.8574,5,352,1.1165,226.064
86,43,914.1695,9.7937,5,352,1.0605,227.125
86,43,919.2737,9.7863,5,352,0.9788,228.104
86,43,924.3738,9.7652,5,352,0.9586,229.062
86,42,929.4870,9.8514,5,352,0.9872,230.049
86,42,934.5872,9.8723,5,352,1.0302,231.080
87,42,939.6933,9.8074,5,352,0.9849,232.064
87,42,944.7943,9.8490,5,352,1.0329,233.097
87,41,949.9001,9.7663,5,352,0.9913,234.089
87,41,954.9883,9.8265,5,352,1.0600,235.149
87,41,960.0803,9.8207,5,352,1.0715,236.220
87,41,965.1752,9.8387,5,352,1.0155,237.236
87,40,970.2719,9.8006,5,352,1.0477,238.283
87,40,975.3646,9.7686,5,352,0.9460,239.229
87,40,980.4520,9.8816,5,352,0.9469,240.176
87,40,985.5364,9.8356,5,352,0.9729,241.149
87,39,990.6269,9.8920,5,352,1.0322,242.181
87,39,995.7183,9.8065,5,352,1.0436,243.225
87,39,1000.8044,9.7986,5,352,1.0196,244.245
87,39,1005.8789,9.7851,5,352,1.0235,245.268
87,38,1010.9630,9.8644,5,352,1.0489,246.317
87,38,1016.0425,9.7801,5,352,0.9766,247.294
87,38,1021.1229,9.8021,5,352,0.9497,248.243
87,38,1026.2073,9.7683,5,352,1.0286,249.272
86,37,1031.2921,9.8221,5,352,1.0041,250.276
87,37,1036.3687,9.8791,5,352,1.0345,251.311
87,37,1041.4421,9.7931,5,352,1.0539,252.365
