altitude,battery,distance,accel,speed,course,timeChange,flightTime
5,99,5.1722,9.7722,0,275,1.0258,1.025
14,97,14.6825,9.8296,0,160,3.9665,4.992
17,97,17.0589,9.8053,0,226,1.0467,6.039
19,97,19.4219,9.8666,0,85,0.9543,6.993
21,97,21.7922,9.8328,0,64,1.0440,8.037
24,96,24.1488,9.8388,0,357,0.9677,9.005
33,95,33.5824,9.8438,0,19,4.0594,13.064
35,95,35.9330,9.7114,0,329,0.9848,14.049
39,93,39.9567,9.8284,0,163,10.1251,24.174
39,93,39.9620,9.8136,0,168,0.9849,25.159
39,92,39.9671,9.8259,0,328,1.0172,26.176
39,92,39.9729,9.7987,0,47,2.0121,28.188
39,92,39.9772,9.8348,0,33,1.0512,29.239
39,91,39.9783,9.8306,0,351,1.0299,30.269
39,91,39.9874,9.8220,0,199,2.9581,33.227
39,90,39.9874,9.8228,0,250,1.0317,34.259
40,90,40.2189,9.9742,0,199,0.9737,35.233
40,90,41.2863,10.0146,1,198,1.0220,36.255
40,90,43.0815,10.1006,1,190,1.0290,37.284
41,89,45.8084,10.1593,2,197,1.0650,38.349
41,89,49.4092,10.0261,3,197,1.0756,39.424
42,89,53.5354,9.4959,4,201,1.0155,40.440
43,89,57.6810,9.8022,4,197,0.9574,41.397
44,88,62.0575,9.8774,4,197,0.9339,42.331
44,88,66.6509,9.8735,4,196,0.9784,43.309
45,88,71.4060,9.8145,4,195,0.9341,44.244
46,88,76.2562,9.8448,4,195,0.9894,45.233
47,87,81.1755,9.8165,4,195,1.0565,46.289
47,87,86.1493,9.8568,4,195,1.1165,47.406
48,87,91.1575,9.8068,4,195,1.0617,48.468
49,87,96.1844,9.8208,4,196,1.0263,49.494
49,86,101.2266,9.8111,4,196,1.0023,50.496
50,86,106.2847,9.8485,5,196,0.9817,51.478
51,86,111.3454,9.7592,5,196,0.9595,52.437
52,86,116.4008,9.7745,5,196,0.9867,53.424
52,85,121.4669,9.8144,5,196,1.0322,54.456
53,85,126.5337,9.9270,5,196,1.0442,55.500
54,85,131.6033,9.8502,5,196,1.0762,56.577
55,85,136.6682,9.8642,5,196,0.9610,57.538
55,84,141.7261,9.8073,5,196,1.0105,58.548
56,84,146.7863,9.8755,4,196,1.0117,59.560
57,84,151.8476,9.8100,5,196,0.9824,60.542
58,84,156.9155,9.7807,5,196,1.0129,61.555
58,83,161.9743,9.8475,5,196,0.9548,62.510
59,83,167.0365,9.8298,4,196,0.9946,63.505
60,83,172.0934,9.8151,4,196,1.0590,64.564
61,83,177.1492,9.8228,4,196,1.0722,65.636
61,82,182.2086,9.9127,5,196,1.0468,66.683
62,82,187.2653,9.8288,4,196,1.0005,67.683
63,82,192.3170,9.8502,5,196,0.9825,68.666
64,82,197.3759,9.8324,5,196,1.0423,69.708
64,81,202.4364,9.8553,5,196,0.9784,70.686
65,81,207.5039,9.8584,5,196,0.9462,71.633
66,81,212.5732,9.8543,5,196,0.9890,72.621
67,80,217.6418,9.8426,5,196,0.9897,73.611
67,80,222.7069,9.8403,5,196,1.0313,74.642
68,80,227.7709,9.7398,5,196,1.0426,75.685
69,80,232.8267,9.8406,4,196,1.0267,76.712
70,79,237.8917,9.7943,5,196,1.1155,77.827
70,79,242.9499,9.8040,5,196,1.0409,78.868
71,79,248.0287,9.7643,5,196,1.0502,79.918
72,79,253.0950,9.7930,5,196,0.9880,80.906
73,78,258.1612,9.8133,5,196,0.9445,81.851
73,78,263.2298,9.8186,5,196,0.9475,82.798
74,78,272.2205,9.2759,4,196,0.9693,83.768
74,77,272.2205,9.7183,0,298,5.1241,88.892
74,77,272.3426,9.8349,0,2,1.0106,89.902
74,76,273.6962,9.7866,1,357,1.0325,90.935
74,76,275.9251,9.9125,2,357,0.9992,91.934
74,76,279.0725,9.8183,3,350,0.9658,92.900
74,76,282.9148,9.8449,3,355,0.9512,93.851
73,75,286.9431,9.8388,4,355,0.9535,94.805
73,75,291.2169,9.7992,4,355,1.0685,95.873
73,75,295.6993,9.8190,4,355,1.0876,96.961
73,75,300.3373,9.9206,4,354,1.0414,98.002
72,74,305.0818,9.8459,4,354,0.9627,98.965
72,74,309.9004,9.7739,4,354,0.9834,99.948
72,74,314.7769,9.7990,4,354,1.0338,100.982
72,74,319.6935,9.8358,4,354,1.0547,102.036
71,73,324.6299,9.9179,4,354,0.9718,103.008
71,73,329.5822,9.8176,4,354,0.9901,103.998
71,73,334.5475,9.8482,4,354,1.0286,105.027
71,73,339.5184,9.8051,4,354,0.9970,106.024
70,72,344.4934,9.8621,4,354,1.0117,107.036
70,72,349.4723,9.8103,4,354,1.0282,108.064
70,72,354.4479,9.7949,4,354,1.0410,109.105
70,72,359.4304,9.8207,4,354,1.0214,110.126
69,71,364.4082,9.7668,4,354,0.9111,111.037
69,71,369.3929,9.8012,4,354,0.9729,112.010
69,71,374.3753,9.7763,4,354,1.0258,113.036
69,71,379.3623,9.8380,4,354,0.9990,114.035
68,71,384.3422,9.8274,4,354,1.0384,115.073
68,70,389.3298,9.8252,4,354,1.0419,116.115
68,70,394.3178,9.8406,4,354,1.0213,117.137
68,70,399.3137,9.8000,4,354,0.9895,118.126
67,70,404.3061,9.7921,4,354,0.9899,119.116
67,69,409.3107,9.7749,5,354,1.0179,120.134
67,69,414.3104,9.8424,4,354,1.0244,121.158
66,69,419.3141,9.8547,4,354,0.9497,122.108
66,69,424.3140,9.8053,4,354,1.0552,123.163
66,68,429.3095,9.8258,4,354,1.0019,124.165
66,68,434.3054,9.7321,4,354,1.0092,125.174
65,68,439.2985,9.8593,4,354,0.9931,126.167
65,68,444.2999,9.8636,4,354,0.9255,127.093
65,67,449.3081,9.8281,5,354,0.9873,128.080
65,67,454.3163,9.8098,4,354,1.0361,129.116
64,67,459.3145,9.7705,4,354,1.0464,130.163
64,67,464.3237,9.8290,5,354,1.0551,131.218
64,66,469.3306,9.7653,5,354,1.0443,132.262
64,66,474.3401,9.8571,4,354,0.9638,133.226
63,66,479.3420,9.8420,4,354,0.9962,134.222
63,66,484.3535,9.7235,5,354,1.0566,135.279
63,65,489.3612,9.8670,5,354,0.9625,136.241
63,65,494.3706,9.8857,5,354,1.0248,137.266
62,65,499.3780,9.7793,5,354,0.9783,138.244
62,65,504.3889,9.7885,5,354,1.0511,139.295
62,64,509.4027,9.8645,5,354,1.0513,140.347
62,64,514.4340,9.7998,5,354,1.0205,141.367
61,64,519.4583,9.7862,5,354,0.9800,142.347
61,64,524.4792,9.7912,5,354,0.9991,143.346
61,63,529.4946,9.8286,5,354,1.0457,144.392
61,63,534.5198,9.7098,5,354,0.9876,145.380
60,63,539.5406,9.8467,5,354,1.0068,146.386
60,63,544.5605,9.8163,5,354,0.9942,147.381
60,63,549.5781,9.8019,5,354,1.0075,148.388
59,62,554.6002,9.8325,5,354,1.0294,149.417
59,62,559.6251,9.7476,5,354,1.0688,150.486
59,62,564.6412,9.8314,5,354,1.0444,151.531
59,62,569.6694,9.8455,5,354,0.9856,152.516
58,61,574.6934,9.7819,5,354,0.9765,153.493
58,61,579.7209,9.8144,5,354,0.9686,154.461
58,61,584.7533,9.8396,5,354,1.0614,155.523
58,61,589.7876,9.7556,5,354,0.9826,156.505
57,60,594.8124,9.8426,5,354,1.0146,157.520
57,60,599.8428,9.7535,5,354,1.0680,158.588
57,60,604.8718,9.8251,5,354,1.0226,159.611
57,60,609.9092,9.7950,5,354,1.0232,160.634
56,59,614.9370,9.8968,5,354,0.9676,161.601
56,59,619.9712,9.8531,5,354,0.9672,162.569
56,59,625.0000,9.8280,5,354,1.0328,163.601
56,59,630.0399,9.7968,5,354,0.9832,164.585
55,58,635.0699,9.8149,5,354,1.0164,165.601
55,58,640.1109,9.8040,5,354,1.0304,166.631
55,58,645.1384,9.7825,5,354,1.0355,167.667
55,58,650.1783,9.8049,5,354,1.0021,168.669
54,57,655.2049,9.8364,5,354,0.9930,169.662
54,57,660.2463,9.8123,5,354,0.9417,170.604
54,57,665.2775,9.7652,5,354,0.9747,171.578
53,57,670.3220,9.8473,5,354,1.0429,172.621
53,56,675.3619,9.7547,5,354,1.0458,173.667
53,56,680.3958,9.7776,5,354,1.0847,174.752
53,56,685.4357,9.7822,5,354,1.0359,175.788
52,56,690.4781,9.7603,5,354,0.9899,176.778
52,55,695.5219,9.8572,5,354,0.9427,177.720
52,55,700.5588,9.8440,5,354,0.9409,178.661
52,55,705.6021,9.8153,5,354,0.9979,179.659
51,55,710.6478,9.8988,5,354,1.0619,180.721
51,55,715.6967,9.8249,5,354,1.0520,181.773
51,54,720.7395,9.8166,5,354,1.0175,182.790
51,54,724.8354,10.0690,4,354,0.9417,183.732
52,53,726.0688,10.6805,0,181,5.1270,188.859
54,53,728.1672,9.9548,1,176,1.0386,189.898
56,52,730.6716,9.7446,1,183,1.0194,190.917
58,52,733.2707,9.8812,1,183,0.9836,191.901
60,52,736.0040,9.9508,1,181,0.9453,192.846
63,51,738.8473,9.9086,1,178,1.0147,193.861
65,51,741.7545,9.8604,1,176,1.0330,194.894
67,51,744.6577,9.8287,1,176,1.0283,195.922
70,51,747.5129,9.7870,1,175,1.0038,196.926
72,50,750.3276,9.8003,1,176,0.9797,197.905
75,50,753.0986,9.8507,1,177,1.0123,198.918
77,50,755.8440,9.8523,1,177,1.0196,199.937
79,50,758.5639,9.8811,1,178,1.0329,200.970
82,49,761.2795,9.7046,1,179,0.9959,201.966
84,49,763.9838,9.8427,1,179,0.9584,202.924
86,49,764.4695,9.1897,1,180,1.0191,203.944
89,48,764.5178,9.3726,0,294,2.1402,206.084
89,48,765.6990,9.6417,1,316,0.9778,207.062
89,48,767.7109,9.7088,2,315,0.9660,208.028
89,48,770.6220,9.8791,3,314,0.9947,209.022
88,47,774.2717,9.9464,3,311,0.9970,210.019
88,47,778.1623,9.8355,3,315,1.0577,211.077
88,47,782.3073,9.8981,4,315,0.9659,212.043
87,47,786.7044,9.8002,4,316,0.9910,213.034
87,46,791.2963,9.8201,4,316,1.0578,214.092
87,46,796.0372,9.7702,4,316,1.0037,215.095
87,46,800.8704,9.8028,4,316,1.0181,216.113
86,46,805.7847,9.7532,4,315,1.0177,217.131
86,45,810.7462,9.8258,4,315,0.9585,218.090
86,45,815.7388,9.8348,4,315,0.9660,219.056
85,45,820.7405,9.8281,5,315,0.9985,220.054
85,45,825.7679,9.8007,5,315,1.0582,221.112
85,45,830.8006,9.8418,5,315,1.0219,222.134
84,44,835.8341,9.8280,5,315,1.0739,223.208
84,44,840.8712,9.8259,5,315,1.0085,224.217
84,44,845.9088,9.8181,5,315,1.0123,225.229
84,44,850.9497,9.8081,5,315,0.9917,226.221
83,43,855.9858,9.7818,5,315,0.9937,227.214
83,43,861.0293,9.8527,5,315,0.9672,228.181
83,43,866.0632,9.8077,5,315,0.9719,229.153
82,43,871.0999,9.7813,5,315,0.9987,230.152
82,42,876.1274,9.7664,5,315,1.0325,231.185
82,42,881.1656,9.8506,5,315,1.0012,232.186
82,42,886.1993,9.8934,5,315,1.0851,233.271
81,42,891.2368,9.8084,5,315,1.0522,234.323
81,41,896.2696,9.8649,5,315,1.0142,235.337
81,41,901.3012,9.7652,5,315,0.9736,236.311
80,41,906.3177,9.8336,5,315,0.9754,237.286
80,41,911.3450,9.8227,5,315,1.0302,238.317
80,40,916.3716,9.8423,5,315,1.0032,239.320
79,40,921.4044,9.7876,5,315,1.0114,240.331
79,40,926.4301,9.7836,5,315,1.0608,241.392
79,40,931.4566,9.8726,5,315,0.9879,242.380
79,39,936.4750,9.8398,5,315,0.9793,243.359
78,39,941.5004,9.8711,5,315,1.0048,244.364
78,39,946.5229,9.8043,5,315,0.9951,245.359
78,39,951.5406,9.7842,4,315,0.9757,246.335
77,38,956.5428,9.7847,4,315,1.0716,247.407
77,38,961.5573,9.8677,5,315,1.0331,248.440
77,38,966.5588,9.7678,4,315,1.0324,249.472
76,38,971.5690,9.8100,5,315,1.0023,250.474
76,37,976.5759,9.7613,5,315,0.9542,251.429
76,37,981.5809,9.8357,4,315,0.9482,252.377
76,37,986.5859,9.8583,4,315,0.9784,253.355
75,37,991.5894,9.8087,4,316,1.0409,254.396
75,37,996.6034,9.7730,4,315,1.0441,255.440
75,36,1001.6018,9.8389,4,315,1.0470,256.487
74,36,1006.5904,9.8612,4,315,1.0841,257.571
74,36,1011.5919,9.8496,4,315,0.9703,258.541
74,36,1016.5830,9.8147,4,315,1.0025,259.544
73,35,1021.5769,9.8631,4,315,0.9696,260.513
73,35,1026.5787,9.8438,4,315,0.9655,261.479
73,35,1031.5753,9.8236,4,315,0.9741,262.453
73,35,1036.5621,9.8034,4,315,1.0359,263.489
72,34,1041.5696,9.8769,4,315,1.0352,264.524
72,34,1046.5621,9.8298,4,315,1.0354,265.560
72,34,1054.6353,10.1127,4,315,0.9848,266.544
72,33,1054.6353,9.7653,0,177,5.1374,271.682
71,32,1054.9741,9.8289,0,152,1.0241,272.706
71,32,1056.5479,9.8326,1,158,1.0552,273.761
71,32,1059.0251,9.8172,2,158,0.9571,274.718
71,32,1062.4016,9.8416,3,161,0.9410,275.659
71,31,1066.4615,9.8770,4,158,1.0299,276.689
71,31,1070.7150,9.7959,4,158,0.9974,277.687
70,31,1075.2043,9.8408,4,158,0.9906,278.677
70,31,1079.8895,9.8604,4,158,1.0646,279.742
70,30,1084.7170,9.7685,4,158,1.0264,280.768
70,30,1089.6302,9.8362,4,158,0.9597,281.728
70,30,1094.6080,9.8315,4,158,1.0209,282.749
70,30,1099.6084,9.8541,4,159,1.0400,283.789
69,30,1104.6414,9.8624,5,158,0.9609,284.750
69,29,1109.6863,9.7960,5,159,1.0139,285.764
69,29,1114.7437,9.8484,5,159,1.0157,286.779
69,29,1119.8137,9.7519,5,159,1.0555,287.835
69,29,1124.8920,9.8046,5,159,0.9701,288.805
68,28,1129.9512,9.8568,5,159,1.0039,289.809
68,28,1135.0098,9.8067,5,159,1.0209,290.830
68,28,1140.0599,9.8341,5,159,1.0152,291.845
68,28,1145.1157,9.7635,5,159,1.0030,292.848
68,27,1150.1892,9.8536,5,159,0.9318,293.780
67,27,1155.2509,9.8317,5,159,0.9927,294.773
67,27,1160.3118,9.8317,5,159,1.0460,295.819
67,27,1165.3850,9.8029,5,159,1.0325,296.851
67,26,1170.4404,9.7933,5,159,1.0403,297.891
67,26,1175.5065,9.7684,5,159,0.9964,298.888
66,26,1180.5510,9.8271,5,159,1.0087,299.897
66,26,1185.6058,9.8190,5,159,0.9649,300.861
66,25,1190.6600,9.8596,5,159,1.0116,301.873
66,25,1195.7078,9.8369,5,159,1.0267,302.900
66,25,1200.7605,9.7795,5,159,1.0575,303.957
65,25,1205.8125,9.7666,5,159,0.9824,304.940
65,24,1210.8604,9.7986,5,159,0.9657,305.905
65,24,1215.9116,9.8589,5,159,0.9686,306.874
65,24,1220.9567,9.7914,5,159,1.0401,307.914
65,24,1226.0101,9.8102,5,159,1.0831,308.997
65,23,1231.0562,9.8114,5,159,1.0352,310.032
64,23,1236.0931,9.7951,5,159,1.0097,311.042
64,23,1241.1293,9.8490,5,159,0.9853,312.027
64,23,1246.1600,9.8067,5,159,0.9860,313.013
64,22,1251.1917,9.8486,5,159,1.0139,314.027
64,22,1256.2251,9.8737,5,159,1.0061,315.033
63,22,1261.2565,9.7935,5,159,0.9684,316.002
63,22,1266.2849,9.8052,5,159,1.0238,317.025
63,21,1271.3143,9.8662,5,159,1.0780,318.103
63,21,1276.3412,9.8037,5,159,1.0548,319.158
63,21,1281.3715,9.8447,5,159,1.0165,320.175
62,21,1286.3885,9.7622,5,159,0.9521,321.127
62,21,1291.4132,9.8228,5,159,0.9833,322.110
